Id,Label,timeset,componentnumber,modularity_class
1444,1444,,0,2
1445,1445,,0,16
1446,1446,,0,22
1447,1447,,0,8
1448,1448,,0,4
1449,1449,,0,8
1450,1450,,0,15
1451,1451,,0,22
1452,1452,,0,29
1453,1453,,0,15
1454,1454,,0,26
1455,1455,,34,0
1456,1456,,0,29
1457,1457,,0,16
1458,1458,,0,4
1459,1459,,0,21
1460,1460,,0,9
1461,1461,,0,15
1462,1462,,0,9
1463,1463,,0,4
1464,1464,,0,13
1465,1465,,0,9
1466,1466,,0,9
1467,1467,,0,5
1468,1468,,0,4
1469,1469,,0,15
1470,1470,,0,29
