Id,Label,timeset,componentnumber,modularity_class
353,353,,0,5
354,354,,0,9
355,355,,0,22
356,356,,0,2
357,357,,0,15
358,358,,0,17
359,359,,0,22
360,360,,0,21
361,361,,0,15
362,362,,0,4
363,363,,0,16
364,364,,0,2
365,365,,0,8
366,366,,0,9
367,367,,0,16
368,368,,0,9
369,369,,0,7
370,370,,0,9
371,371,,9,0
372,372,,0,16
373,373,,0,16
374,374,,0,9
375,375,,0,4
376,376,,0,22
377,377,,0,9
378,378,,0,16
379,379,,0,22
380,380,,0,22
381,381,,0,9
382,382,,0,8
383,383,,0,8
384,384,,0,4
385,385,,0,4
386,386,,0,13
387,387,,0,8
388,388,,0,29
389,389,,0,8
390,390,,0,22
391,391,,0,13
392,392,,10,0
393,393,,0,2
394,394,,0,2
395,395,,0,13
396,396,,0,5
397,397,,0,17
398,398,,0,8
399,399,,0,13
400,400,,0,8
401,401,,0,5
402,402,,0,9
403,403,,11,0
404,404,,0,15
405,405,,0,8
406,406,,0,17
407,407,,0,29
408,408,,0,21
409,409,,0,22
410,410,,0,9
411,411,,0,22
412,412,,0,13
413,413,,0,13
414,414,,0,4
415,415,,0,8
416,416,,0,22
417,417,,0,9
418,418,,0,13
419,419,,0,2
420,420,,0,4
421,421,,0,2
422,422,,0,15
423,423,,0,29
424,424,,0,9
425,425,,0,9
426,426,,0,4
427,427,,0,2
428,428,,0,8
429,429,,0,9
430,430,,0,25
431,431,,0,9
432,432,,0,15
433,433,,0,2
434,434,,0,2
435,435,,0,15
436,436,,0,15
437,437,,0,8
438,438,,0,9
439,439,,0,8
440,440,,0,8
441,441,,0,15
442,442,,0,17
443,443,,0,8
444,444,,0,9
445,445,,0,15
446,446,,0,17
447,447,,0,5
448,448,,0,5
449,449,,0,4
450,450,,0,22
451,451,,0,5
452,452,,0,22
453,453,,0,5
454,454,,0,22
455,455,,0,29
456,456,,0,16
457,457,,0,16
458,458,,0,5
459,459,,0,22
460,460,,0,8
461,461,,0,9
462,462,,0,5
463,463,,0,5
464,464,,0,22
465,465,,0,9
466,466,,0,13
467,467,,0,9
468,468,,0,16
469,469,,0,15
470,470,,0,9
471,471,,0,9
472,472,,0,5
473,473,,0,9
474,474,,0,17
475,475,,0,9
476,476,,0,17
477,477,,0,16
478,478,,0,9
479,479,,0,8
480,480,,0,4
481,481,,0,16
482,482,,0,5
483,483,,0,8
484,484,,0,8
485,485,,0,15
486,486,,0,17
487,487,,0,15
488,488,,0,29
489,489,,0,29
490,490,,0,16
491,491,,0,2
492,492,,0,8
493,493,,0,9
494,494,,0,4
495,495,,0,4
496,496,,0,16
497,497,,12,0
498,498,,0,9
499,499,,0,2
500,500,,0,9
501,501,,0,8
502,502,,0,33
503,503,,0,8
504,504,,0,9
505,505,,0,9
506,506,,0,9
507,507,,0,13
508,508,,0,21
509,509,,0,9
510,510,,0,8
511,511,,0,9
512,512,,0,17
513,513,,0,16
514,514,,0,5
515,515,,0,9
516,516,,0,8
517,517,,0,16
518,518,,0,16
519,519,,0,9
520,520,,0,22
521,521,,0,13
522,522,,0,15
523,523,,0,15
524,524,,0,15
525,525,,0,16
526,526,,0,5
527,527,,0,17
528,528,,0,5
529,529,,0,21
530,530,,13,0
531,531,,0,29
532,532,,0,30
533,533,,0,21
534,534,,0,9
535,535,,0,22
536,536,,0,22
537,537,,0,22
538,538,,0,2
539,539,,0,8
540,540,,0,20
541,541,,0,15
542,542,,0,13
543,543,,0,22
544,544,,0,8
545,545,,0,5
546,546,,0,17
547,547,,0,22
548,548,,0,9
549,549,,0,16
550,550,,0,4
551,551,,0,9
552,552,,0,9
553,553,,0,9
554,554,,0,9
555,555,,0,9
556,556,,0,5
557,557,,0,8
558,558,,0,9
559,559,,0,9
560,560,,0,16
561,561,,0,9
562,562,,0,15
563,563,,0,5
564,564,,0,4
565,565,,0,16
566,566,,0,13
567,567,,0,2
568,568,,0,15
569,569,,0,4
570,570,,0,15
571,571,,0,15
572,572,,0,16
573,573,,0,8
574,574,,0,16
575,575,,0,8
576,576,,0,2
577,577,,0,24
578,578,,0,16
579,579,,0,8
580,580,,0,8
581,581,,0,15
582,582,,0,16
583,583,,0,2
584,584,,0,12
585,585,,0,29
586,586,,0,15
587,587,,0,9
588,588,,0,15
589,589,,0,4
590,590,,0,17
