,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
707,707,3.0,0.3670150339603424,"[(1, 0.304751), (3, 0.36701503), (12, 0.0849236), (29, 0.23218937)]"
708,708,11.0,0.5261728763580322,"[(0, 0.09696737), (11, 0.5261729), (15, 0.08147227), (18, 0.18799242), (19, 0.09709952)]"
709,709,22.0,0.9780777096748352,"[(22, 0.9780777), (26, 0.012907967)]"
710,710,11.0,0.7640268802642822,"[(2, 0.1273513), (5, 0.016705934), (6, 0.017319426), (11, 0.7640269), (20, 0.010650614), (28, 0.040765077)]"
711,711,16.0,0.6315885186195374,"[(0, 0.07501715), (1, 0.08404867), (3, 0.083735816), (4, 0.11095414), (16, 0.6315885)]"
712,712,1.0,0.29585421085357666,"[(1, 0.2958542), (3, 0.15319149), (13, 0.22021136), (16, 0.25353563), (25, 0.06282337)]"
713,713,16.0,0.937437891960144,"[(16, 0.93743795), (29, 0.03337783)]"
714,714,12.0,0.3228674530982971,"[(1, 0.3202529), (3, 0.18596491), (12, 0.32286745), (16, 0.1600677)]"
715,715,8.0,0.5107046365737915,"[(3, 0.37557772), (8, 0.51070464), (17, 0.09702832)]"
716,716,16.0,0.9224765300750732,"[(8, 0.032421265), (12, 0.033253614), (16, 0.92247653)]"
717,717,14.0,0.7791192531585693,"[(11, 0.076541804), (14, 0.77911925), (19, 0.0721717), (21, 0.057010982)]"
718,718,14.0,0.3981340527534485,"[(11, 0.287282), (14, 0.39813405), (19, 0.035760667), (27, 0.11694096), (28, 0.10407215), (29, 0.047875464)]"
719,719,5.0,0.9543224573135376,"[(5, 0.9543224), (16, 0.029005423)]"
720,720,20.0,0.3997345566749573,"[(2, 0.2041998), (11, 0.18843462), (19, 0.03740332), (20, 0.39973456), (27, 0.07476861), (29, 0.08018574)]"
721,721,11.0,0.3565840721130371,"[(5, 0.03548406), (7, 0.09098455), (11, 0.35658407), (12, 0.19882756), (18, 0.07249359), (29, 0.23571146)]"
722,722,17.0,0.4752838611602783,"[(15, 0.0412578), (17, 0.47528386), (18, 0.18007742), (22, 0.2811074), (27, 0.0143340705)]"
723,723,12.0,0.7115170955657959,"[(10, 0.28242072), (12, 0.7115171)]"
