,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30
0,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.07941805571317673,0.00030900281853973866,0.1427103877067566,0.012765676714479923,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.031862661242485046,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.05680827423930168,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.510532796382904,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.00030900281853973866,0.1587950885295868,0.00030900281853973866
1,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563,0.028821704909205437,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563,0.03223485127091408,0.09803011268377304,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563,0.4414035677909851,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563,0.24682393670082092,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563,0.08677557855844498,0.00037078969762660563,0.05738211050629616,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563,0.00037078969762660563
2,0.03571297973394394,0.0004075713222846389,0.2049049437046051,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.054779019206762314,0.15090250968933105,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.5435112714767456,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389,0.0004075713222846389
3,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.1157822534441948,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.7655998468399048,0.0004284637398086488,0.0004284637398086488,0.02100122533738613,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.0004284637398086488,0.08647659420967102,0.0004284637398086488
4,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.0991009995341301,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.10792297124862671,0.000311989919282496,0.000311989919282496,0.48773935437202454,0.000311989919282496,0.000311989919282496,0.054157327860593796,0.000311989919282496,0.15902364253997803,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.000311989919282496,0.08456794172525406,0.000311989919282496
5,0.00034423821489326656,0.00034423821489326656,0.00034423821489326656,0.00034423821489326656,0.00034423821489326656,0.011128729209303856,0.00034423821489326656,0.03939536213874817,0.00034423821489326656,0.00034423821489326656,0.0334073007106781,0.00034423821489326656,0.00034423821489326656,0.00034423821489326656,0.00034423821489326656,0.00034423821489326656,0.0733630433678627,0.00034423821489326656,0.00034423821489326656,0.18227994441986084,0.00034423821489326656,0.00034423821489326656,0.12349632382392883,0.00034423821489326656,0.00034423821489326656,0.00034423821489326656,0.5290117859840393,0.00034423821489326656,0.00034423821489326656,0.00034423821489326656
6,0.00028107885736972094,0.5165355205535889,0.06229842081665993,0.05537790060043335,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.022118093445897102,0.16122421622276306,0.00028107885736972094,0.00028107885736972094,0.05203203484416008,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.01205656211823225,0.1006026566028595,0.011851894669234753,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094,0.00028107885736972094
7,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.009477472864091396,0.00016700108244549483,0.00016700108244549483,0.011545244604349136,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.05143187195062637,0.00016700108244549483,0.026928316801786423,0.00016700108244549483,0.00016700108244549483,0.00016700108244549483,0.8332979679107666,0.00016700108244549483,0.00016700108244549483,0.03992385044693947,0.02355426363646984,0.00016700108244549483,0.00016700108244549483
8,0.00031467952067032456,0.34424152970314026,0.00031467952067032456,0.05861446633934975,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.13852110505104065,0.25533926486968994,0.07170754671096802,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.12402376532554626,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456,0.00031467952067032456
9,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.03360786288976669,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.37421679496765137,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.00039738553459756076,0.041641391813755035,0.2610270380973816,0.00039738553459756076,0.26561039686203003,0.00039738553459756076,0.00039738553459756076,0.01435922086238861,0.00039738553459756076
