,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,23.0,0.6495427489280701,"[(1, 0.047375266), (2, 0.01788922), (3, 0.034152664), (14, 0.099120274), (19, 0.025653657), (23, 0.64954275), (25, 0.11915513)]"
1,1,8.0,0.5299682021141052,"[(1, 0.24739048), (8, 0.5299682), (13, 0.10612787), (29, 0.10630505)]"
2,2,23.0,0.9892538189888,"[(23, 0.9892539)]"
3,3,25.0,0.789508044719696,"[(4, 0.09044328), (13, 0.10835062), (25, 0.78950804)]"
4,4,7.0,0.20619718730449677,"[(0, 0.011732466), (2, 0.03451009), (3, 0.080277026), (4, 0.1489074), (5, 0.04148232), (6, 0.024653466), (7, 0.20619719), (9, 0.11231926), (18, 0.0650588), (19, 0.08262656), (24, 0.18611501)]"
5,5,8.0,0.49859195947647095,"[(4, 0.11797545), (7, 0.03058568), (8, 0.49859193), (27, 0.34371164)]"
6,6,2.0,0.7719659805297852,"[(0, 0.06596848), (2, 0.771966), (3, 0.012992186), (7, 0.010746019), (8, 0.04696002), (11, 0.034285914), (20, 0.020488705), (26, 0.019359136), (28, 0.010422402)]"
7,7,9.0,0.6020960211753845,"[(4, 0.17187203), (7, 0.06949475), (9, 0.602096), (18, 0.0701362), (23, 0.012603484), (27, 0.04544356), (29, 0.0180218)]"
8,8,8.0,0.4011506140232086,"[(1, 0.023360448), (8, 0.4011506), (11, 0.17114589), (12, 0.07996809), (15, 0.30015302), (27, 0.016668255)]"
9,9,4.0,0.40360918641090393,"[(4, 0.4036092), (15, 0.23304969), (16, 0.119093835), (18, 0.1921734), (27, 0.0412285)]"
10,10,11.0,0.4248370826244354,"[(0, 0.12624241), (2, 0.052074306), (5, 0.22299784), (8, 0.12652), (11, 0.42483708), (17, 0.036499865)]"
11,11,24.0,0.9859800934791565,"[(24, 0.9859801)]"
12,12,15.0,0.8008849620819092,"[(2, 0.1136841), (13, 0.031337187), (15, 0.80088496), (23, 0.04434738)]"
13,13,23.0,0.8232207298278809,"[(2, 0.024475029), (15, 0.08281956), (20, 0.06159584), (23, 0.82322073)]"
14,14,22.0,0.5977620482444763,"[(4, 0.21511528), (14, 0.05224575), (15, 0.11680238), (22, 0.59776205), (28, 0.010823418)]"
15,15,21.0,0.9772034287452698,"[(21, 0.97720337), (24, 0.013553784)]"
16,16,24.0,0.6903247237205505,"[(4, 0.11250531), (8, 0.053175144), (13, 0.039285403), (16, 0.049467307), (17, 0.029612916), (19, 0.020481301), (24, 0.6903247)]"
17,17,24.0,0.5963296890258789,"[(0, 0.21640027), (3, 0.016089853), (6, 0.07129408), (13, 0.074051425), (18, 0.018928194), (24, 0.5963297)]"
18,18,3.0,0.3838844895362854,"[(1, 0.057732917), (3, 0.3838845), (5, 0.1368938), (13, 0.14189418), (17, 0.09290163), (21, 0.033749796), (22, 0.14094841)]"
19,19,23.0,0.5228732824325562,"[(2, 0.021310091), (8, 0.14511183), (15, 0.29185104), (23, 0.5228733)]"
