,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
1059,1059,18.0,0.2688707411289215,"[(7, 0.26686904), (18, 0.26887074), (21, 0.23286025), (27, 0.10351782), (29, 0.11138578)]"
1060,1060,27.0,0.5876457691192627,"[(12, 0.02789707), (17, 0.09513348), (21, 0.11593955), (25, 0.082316995), (26, 0.08649427), (27, 0.58764577)]"
1061,1061,12.0,0.4747089445590973,"[(8, 0.08558612), (12, 0.47470894), (22, 0.43144497)]"
1062,1062,20.0,0.4290095567703247,"[(2, 0.23967837), (20, 0.42900956), (24, 0.32193315)]"
1063,1063,21.0,0.5962007641792297,"[(15, 0.3950722), (21, 0.59620076)]"
1064,1064,24.0,0.9817572236061096,"[(24, 0.9817572)]"
1065,1065,17.0,0.7983903884887695,"[(4, 0.18550912), (17, 0.7983904)]"
1066,1066,12.0,0.5228427052497864,"[(8, 0.40692577), (12, 0.5228427), (21, 0.061405238)]"
1067,1067,13.0,0.9876049757003784,"[(13, 0.987605)]"
1068,1068,5.0,0.43975839018821716,"[(5, 0.4397584), (13, 0.109998815), (20, 0.25455984), (29, 0.1875024)]"
1069,1069,21.0,0.41865018010139465,"[(0, 0.33720416), (15, 0.23657495), (21, 0.41865018)]"
1070,1070,21.0,0.992326557636261,"[(21, 0.99232656)]"
1071,1071,17.0,0.6001601219177246,"[(17, 0.6001601), (20, 0.39551717)]"
1072,1072,1.0,0.9225588440895081,"[(1, 0.92255884), (24, 0.06670616)]"
1073,1073,11.0,0.993239164352417,"[(11, 0.99323916)]"
1074,1074,15.0,0.7669706344604492,"[(3, 0.14955874), (7, 0.07549977), (15, 0.76697063)]"
1075,1075,15.0,0.9909643530845642,"[(15, 0.9909643)]"
1076,1076,22.0,0.8095183968544006,"[(20, 0.18625726), (22, 0.8095184)]"
1077,1077,4.0,0.9922019243240356,"[(4, 0.9922019)]"
1078,1078,29.0,0.9891365766525269,"[(29, 0.9891366)]"
1079,1079,11.0,0.49089258909225464,"[(2, 0.138927), (11, 0.49089262), (12, 0.03969537), (13, 0.1117514), (15, 0.18693644), (27, 0.02603722)]"
1080,1080,23.0,0.5737505555152893,"[(20, 0.41895282), (23, 0.57375056)]"
1081,1081,13.0,0.681418776512146,"[(3, 0.19050978), (12, 0.1203115), (13, 0.6814188)]"
1082,1082,17.0,0.5911433696746826,"[(17, 0.59114337), (24, 0.40438837)]"
1083,1083,25.0,0.5248135328292847,"[(12, 0.17696074), (20, 0.08466319), (25, 0.52481353), (28, 0.20736802)]"
1084,1084,8.0,0.7243930101394653,"[(3, 0.02215915), (8, 0.724393), (23, 0.14962342), (25, 0.097883426)]"
1085,1085,27.0,0.522055983543396,"[(7, 0.20557125), (21, 0.261116), (27, 0.522056)]"
1086,1086,28.0,0.757637083530426,"[(26, 0.23517917), (28, 0.7576371)]"
1087,1087,8.0,0.9852759838104248,"[(8, 0.98527604)]"
1088,1088,21.0,0.7260633111000061,"[(20, 0.2654466), (21, 0.7260633)]"
1089,1089,17.0,0.9911307096481323,"[(17, 0.9911307)]"
1090,1090,27.0,0.5522510409355164,"[(3, 0.16542847), (13, 0.06061321), (25, 0.2148254), (27, 0.55225104)]"
1091,1091,25.0,0.4407618045806885,"[(17, 0.22055294), (18, 0.09863362), (21, 0.23051998), (25, 0.4407618)]"
1092,1092,28.0,0.3084626793861389,"[(3, 0.26096904), (8, 0.19117627), (12, 0.10923656), (23, 0.11940909), (28, 0.30846268)]"
1093,1093,14.0,0.6992998123168945,"[(12, 0.08406628), (14, 0.6992998), (21, 0.20651916)]"
1094,1094,8.0,0.7310472130775452,"[(8, 0.7310472), (23, 0.26160133)]"
1095,1095,25.0,0.8264081478118896,"[(4, 0.15720776), (25, 0.82640815)]"
1096,1096,13.0,0.9909628033638,"[(13, 0.99096274)]"
1097,1097,20.0,0.5932222008705139,"[(0, 0.3995945), (20, 0.5932222)]"
1098,1098,15.0,0.7080956697463989,"[(2, 0.2720363), (15, 0.70809567)]"
1099,1099,25.0,0.7930393815040588,"[(5, 0.065899506), (11, 0.13330004), (25, 0.7930394)]"
1100,1100,21.0,0.6705877184867859,"[(21, 0.6705877), (25, 0.3214983)]"
1101,1101,28.0,0.719158947467804,"[(13, 0.053284843), (26, 0.21776882), (28, 0.71915895)]"
1102,1102,4.0,0.5647547245025635,"[(4, 0.5647547), (5, 0.41795322)]"
1103,1103,6.0,0.40211978554725647,"[(6, 0.4021198), (9, 0.10232392), (15, 0.21877623), (19, 0.26506084)]"
1104,1104,4.0,0.5807163715362549,"[(4, 0.5807164), (16, 0.038453337), (23, 0.3644576)]"
1105,1105,21.0,0.9267556071281433,"[(21, 0.92675567), (26, 0.06512365)]"
1106,1106,4.0,0.9855679273605347,"[(4, 0.9855679)]"
1107,1107,18.0,0.571625292301178,"[(18, 0.5716253), (23, 0.42271498)]"
1108,1108,19.0,0.9871086478233337,"[(19, 0.9871087)]"
1109,1109,24.0,0.9910472631454468,"[(24, 0.99104726)]"
1110,1110,17.0,0.48602059483528137,"[(16, 0.40964824), (17, 0.48602062), (21, 0.09321215)]"
1111,1111,22.0,0.9844045042991638,"[(22, 0.98440444)]"
1112,1112,22.0,0.4621809720993042,"[(6, 0.30722445), (10, 0.2207021), (22, 0.46218097)]"
1113,1113,6.0,0.7462344765663147,"[(6, 0.7462345), (27, 0.24194725)]"
1114,1114,21.0,0.6966235637664795,"[(5, 0.29374915), (21, 0.69662356)]"
1115,1115,0.0,0.7752670049667358,"[(0, 0.775267), (13, 0.21726206)]"
1116,1116,8.0,0.4323716461658478,"[(8, 0.43237168), (16, 0.2664545), (21, 0.2825598), (22, 0.011506667)]"
1117,1117,11.0,0.6198803186416626,"[(11, 0.6198803), (16, 0.091328785), (24, 0.28089327)]"
1118,1118,9.0,0.9857809543609619,"[(9, 0.9857809)]"
1119,1119,2.0,0.6450743079185486,"[(2, 0.6450743), (13, 0.34666395)]"
1120,1120,23.0,0.3976271450519562,"[(0, 0.016875653), (13, 0.041692004), (18, 0.3361164), (22, 0.16246022), (23, 0.39762715), (25, 0.04070521)]"
1121,1121,26.0,0.9940686821937561,"[(26, 0.9940687)]"
1122,1122,26.0,0.8327956795692444,"[(13, 0.026490081), (21, 0.053449053), (25, 0.08021763), (26, 0.8327957)]"
1123,1123,26.0,0.5296303033828735,"[(20, 0.45721403), (26, 0.5296303)]"
1124,1124,14.0,0.5426630973815918,"[(14, 0.5426631), (23, 0.44536695)]"
1125,1125,28.0,0.506274402141571,"[(17, 0.3378935), (28, 0.5062744)]"
1126,1126,14.0,0.6535767912864685,"[(14, 0.6535768), (16, 0.071881555), (21, 0.26787147)]"
1127,1127,27.0,0.6036972999572754,"[(5, 0.07576126), (22, 0.010475575), (23, 0.3032902), (27, 0.6036973)]"
1128,1128,20.0,0.9851241707801819,"[(20, 0.9851242)]"
1129,1129,3.0,0.5733788013458252,"[(3, 0.5733788), (5, 0.41728565)]"
1130,1130,13.0,0.5034828782081604,"[(6, 0.37134486), (13, 0.5034829), (28, 0.11494091)]"
1131,1131,11.0,0.9943125247955322,"[(11, 0.99431247)]"
1132,1132,13.0,0.5712856650352478,"[(2, 0.23304729), (13, 0.57128567), (25, 0.11810997), (28, 0.063974485)]"
1133,1133,13.0,0.4305731952190399,"[(3, 0.2151706), (8, 0.025654117), (13, 0.4305732), (21, 0.25597653), (22, 0.06518201)]"
1134,1134,21.0,0.44884055852890015,"[(7, 0.19273043), (21, 0.44884056), (26, 0.34457734)]"
1135,1135,25.0,0.5708894729614258,"[(8, 0.2150548), (21, 0.1645868), (25, 0.5708895), (28, 0.041133583)]"
1136,1136,28.0,0.7141886949539185,"[(13, 0.060340308), (25, 0.21589325), (28, 0.7141887)]"
1137,1137,5.0,0.5233202576637268,"[(5, 0.52332026), (13, 0.25058052), (28, 0.21203138)]"
1138,1138,24.0,0.9851236343383789,"[(24, 0.98512363)]"
1139,1139,3.0,0.6014382243156433,"[(3, 0.6014382), (16, 0.37950718)]"
1140,1140,10.0,0.5424951910972595,"[(7, 0.05476594), (10, 0.5424952), (16, 0.38316727)]"
1141,1141,2.0,0.5252246260643005,"[(2, 0.5252246), (16, 0.4544776)]"
1142,1142,15.0,0.8302587866783142,"[(15, 0.8302588), (20, 0.1623298)]"
1143,1143,20.0,0.3837659955024719,"[(6, 0.19208679), (9, 0.10553828), (16, 0.30391276), (20, 0.383766)]"
1144,1144,28.0,0.9863827228546143,"[(28, 0.9863827)]"
1145,1145,13.0,0.9852002263069153,"[(13, 0.9852002)]"
1146,1146,17.0,0.9882084131240845,"[(17, 0.9882084)]"
1147,1147,13.0,0.9949381351470947,"[(13, 0.9949382)]"
1148,1148,1.0,0.9920094013214111,"[(1, 0.9920094)]"
1149,1149,16.0,0.9902330636978149,"[(16, 0.99023306)]"
1150,1150,21.0,0.5159789323806763,"[(11, 0.029449975), (17, 0.27950507), (20, 0.1652091), (21, 0.51597893)]"
1151,1151,21.0,0.9894909858703613,"[(21, 0.989491)]"
1152,1152,5.0,0.5350087881088257,"[(5, 0.5350088), (7, 0.34956205), (21, 0.10457929)]"
1153,1153,11.0,0.9924470782279968,"[(11, 0.9924471)]"
1154,1154,15.0,0.7178134918212891,"[(0, 0.03339189), (14, 0.23950993), (15, 0.7178135)]"
1155,1155,11.0,0.48970937728881836,"[(4, 0.2714818), (11, 0.48970935), (24, 0.23136729)]"
1156,1156,15.0,0.993881106376648,"[(15, 0.9938811)]"
1157,1157,28.0,0.5841046571731567,"[(16, 0.40551844), (28, 0.58410466)]"
1158,1158,6.0,0.989012598991394,"[(6, 0.9890126)]"
1159,1159,20.0,0.996337890625,"[(20, 0.99633783)]"
1160,1160,27.0,0.9931423664093018,"[(27, 0.99314237)]"
1161,1161,27.0,0.577208399772644,"[(5, 0.10465382), (20, 0.30894664), (27, 0.5772084)]"
1162,1162,25.0,0.9937623143196106,"[(25, 0.9937623)]"
1163,1163,2.0,0.9833300709724426,"[(2, 0.9833301)]"
1164,1164,26.0,0.36140796542167664,"[(4, 0.35757563), (21, 0.27453947), (26, 0.36140797)]"
1165,1165,21.0,0.6140701770782471,"[(7, 0.37258798), (21, 0.6140702)]"
1166,1166,27.0,0.43053802847862244,"[(9, 0.108622424), (15, 0.29961556), (20, 0.15524341), (27, 0.43053806)]"
1167,1167,13.0,0.5041679739952087,"[(13, 0.504168), (28, 0.13919742), (29, 0.34055287)]"
1168,1168,6.0,0.825547456741333,"[(6, 0.82554746), (21, 0.16306764)]"
1169,1169,17.0,0.7652064561843872,"[(17, 0.76520646), (21, 0.23016812)]"
1170,1170,15.0,0.4686700999736786,"[(8, 0.3480577), (13, 0.075880274), (15, 0.46867013), (17, 0.10200684)]"
1171,1171,21.0,0.7814608812332153,"[(4, 0.20556903), (21, 0.7814609)]"
1172,1172,8.0,0.720634400844574,"[(8, 0.7206344), (26, 0.26287368)]"
1173,1173,19.0,0.6223926544189453,"[(0, 0.14345466), (19, 0.62239265), (20, 0.12613578), (23, 0.09279861)]"
1174,1174,10.0,0.6615775227546692,"[(10, 0.6615775), (20, 0.33145544)]"
1175,1175,26.0,0.5314403176307678,"[(15, 0.44108734), (26, 0.5314403)]"
1176,1176,12.0,0.5068095922470093,"[(12, 0.5068096), (19, 0.19619313), (22, 0.2864056)]"
1177,1177,5.0,0.9894919395446777,"[(5, 0.9894919)]"
1178,1178,8.0,0.4641196131706238,"[(5, 0.022870937), (8, 0.4641196), (10, 0.30322728), (13, 0.0407197), (15, 0.16354188)]"
1179,1179,17.0,0.9932857155799866,"[(17, 0.9932857)]"
1180,1180,14.0,0.6142534017562866,"[(3, 0.2839348), (14, 0.6142534), (27, 0.09519271)]"
1181,1181,26.0,0.9707434177398682,"[(26, 0.9707434), (28, 0.020013005)]"
1182,1182,15.0,0.733155369758606,"[(0, 0.25202438), (15, 0.73315537)]"
1183,1183,7.0,0.6854865550994873,"[(3, 0.1892118), (7, 0.68548656), (11, 0.106206685), (17, 0.012720082)]"
1184,1184,8.0,0.5826272368431091,"[(8, 0.58262724), (12, 0.045231745), (23, 0.29514506), (28, 0.068575636)]"
1185,1185,6.0,0.852630078792572,"[(6, 0.8526301), (11, 0.03457333), (15, 0.0103051225), (22, 0.02223329), (25, 0.07516825)]"
1186,1186,25.0,0.7307775616645813,"[(1, 0.22243224), (12, 0.038530033), (25, 0.73077756)]"
1187,1187,20.0,0.9902337193489075,"[(20, 0.99023366)]"
1188,1188,17.0,0.9961323738098145,"[(17, 0.9961324)]"
1189,1189,12.0,0.34826093912124634,"[(7, 0.34064877), (8, 0.17467482), (12, 0.34826094), (17, 0.021783212), (29, 0.10756614)]"
1190,1190,29.0,0.9890127778053284,"[(29, 0.98901284)]"
1191,1191,20.0,0.4098256230354309,"[(8, 0.08119659), (20, 0.40982562), (21, 0.102010496), (23, 0.39979914)]"
1192,1192,17.0,0.8634978532791138,"[(4, 0.01444804), (17, 0.8634978), (19, 0.065871336), (23, 0.0510199)]"
1193,1193,21.0,0.9888841509819031,"[(21, 0.98888415)]"
1194,1194,22.0,0.519912600517273,"[(21, 0.4701536), (22, 0.5199126)]"
1195,1195,20.0,0.36146342754364014,"[(2, 0.3313947), (20, 0.36146343), (24, 0.14446928), (27, 0.15334803)]"
1196,1196,27.0,0.7035629749298096,"[(5, 0.1319228), (23, 0.15391518), (27, 0.703563)]"
1197,1197,19.0,0.7520129084587097,"[(19, 0.7520129), (20, 0.23761383)]"
1198,1198,3.0,0.4177176356315613,"[(3, 0.41771764), (8, 0.18165903), (11, 0.38363206)]"
1199,1199,1.0,0.35302895307540894,"[(1, 0.35302895), (23, 0.33176517), (28, 0.29967624)]"
1200,1200,24.0,0.8630030155181885,"[(13, 0.13046744), (24, 0.8630031)]"
1201,1201,19.0,0.9867565035820007,"[(19, 0.9867565)]"
1202,1202,14.0,0.9162518382072449,"[(14, 0.9162519), (16, 0.072893284)]"
1203,1203,17.0,0.5368225574493408,"[(2, 0.454532), (17, 0.53682256)]"
1204,1204,7.0,0.9893747568130493,"[(7, 0.98937476)]"
1205,1205,9.0,0.5248017907142639,"[(9, 0.5248018), (23, 0.46223208)]"
1206,1206,16.0,0.5516444444656372,"[(16, 0.55164444), (24, 0.43442002)]"
1207,1207,24.0,0.5179392695426941,"[(15, 0.4731692), (24, 0.51793927)]"
1208,1208,29.0,0.4972499907016754,"[(9, 0.1603795), (25, 0.33403432), (29, 0.49725002)]"
1209,1209,13.0,0.4219789505004883,"[(3, 0.33014783), (13, 0.42197895), (25, 0.22164455), (28, 0.018197833)]"
1210,1210,28.0,0.9916647672653198,"[(28, 0.99166477)]"
1211,1211,9.0,0.9893746972084045,"[(9, 0.98937464)]"
1212,1212,8.0,0.6848210692405701,"[(8, 0.68482107), (9, 0.1164924), (24, 0.18582422)]"
1213,1213,8.0,0.9893742799758911,"[(8, 0.9893742)]"
1214,1214,28.0,0.49184495210647583,"[(17, 0.23730826), (19, 0.058889244), (20, 0.20490554), (28, 0.49184498)]"
1215,1215,29.0,0.9086236953735352,"[(8, 0.084304266), (29, 0.9086237)]"
1216,1216,23.0,0.4955565631389618,"[(9, 0.034802604), (23, 0.49555653), (26, 0.45620266)]"
1217,1217,26.0,0.48277294635772705,"[(7, 0.08814206), (21, 0.4187353), (26, 0.48277295)]"
1218,1218,0.0,0.496968150138855,"[(0, 0.49696812), (14, 0.038672987), (18, 0.45498157)]"
1219,1219,1.0,0.991130530834198,"[(1, 0.99113053)]"
1220,1220,5.0,0.5168878436088562,"[(5, 0.51688784), (13, 0.46701452)]"
1221,1221,12.0,0.6162165403366089,"[(8, 0.09850172), (12, 0.61621654), (13, 0.026000196), (21, 0.044047263), (22, 0.055964086), (25, 0.15117785)]"
1222,1222,19.0,0.6268244981765747,"[(9, 0.08349388), (19, 0.6268245), (23, 0.27404314)]"
1223,1223,3.0,0.4933154881000519,"[(3, 0.49331546), (5, 0.065071926), (13, 0.23016801), (16, 0.20294206)]"
1224,1224,28.0,0.9851260781288147,"[(28, 0.98512614)]"
1225,1225,16.0,0.511158287525177,"[(16, 0.5111583), (21, 0.23721322), (22, 0.2437993)]"
1226,1226,1.0,0.6272311210632324,"[(1, 0.6272311), (17, 0.28280348), (25, 0.06168248), (26, 0.021456767)]"
1227,1227,15.0,0.9912105202674866,"[(15, 0.99121046)]"
1228,1228,29.0,0.8059453368186951,"[(3, 0.18791293), (29, 0.80594534)]"
1229,1229,0.0,0.7240430116653442,"[(0, 0.724043), (9, 0.10440565), (23, 0.08585569), (24, 0.0770264)]"
1230,1230,11.0,0.6894066333770752,"[(7, 0.15573813), (11, 0.68940663), (19, 0.084413975), (23, 0.05309377)]"
1231,1231,10.0,0.9905209541320801,"[(10, 0.9905209)]"
1232,1232,18.0,0.7140814065933228,"[(4, 0.26862764), (18, 0.7140814)]"
1233,1233,3.0,0.7088572978973389,"[(3, 0.7088573), (20, 0.28523314)]"
1234,1234,18.0,0.7603912949562073,"[(4, 0.18194659), (18, 0.7603913), (28, 0.047876514)]"
1235,1235,7.0,0.3740602135658264,"[(0, 0.2910776), (7, 0.3740602), (10, 0.26022497), (14, 0.06393388)]"
1236,1236,5.0,0.9888852834701538,"[(5, 0.9888853)]"
1237,1237,21.0,0.9930943250656128,"[(21, 0.9930943)]"
1238,1238,18.0,0.9897130131721497,"[(18, 0.989713)]"
1239,1239,11.0,0.5534361004829407,"[(1, 0.1643969), (5, 0.07927831), (7, 0.1940407), (11, 0.5534361)]"
1240,1240,21.0,0.5266211628913879,"[(8, 0.22142908), (13, 0.079104714), (17, 0.1661224), (21, 0.52662116)]"
