,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
2242,2242,29.0,0.4526912569999695,"[(2, 0.015114418), (5, 0.21736158), (6, 0.013746456), (7, 0.016340462), (8, 0.16207205), (14, 0.06027185), (21, 0.052992128), (29, 0.45269126)]"
2243,2243,27.0,0.9238522052764893,"[(9, 0.018966224), (25, 0.04961295), (27, 0.92385215)]"
2244,2244,5.0,0.7078048586845398,"[(1, 0.07066317), (5, 0.70780486), (7, 0.0262618), (9, 0.02020338), (11, 0.094840355), (19, 0.067312784)]"
2245,2245,3.0,0.5165472626686096,"[(3, 0.51654726), (11, 0.042745255), (22, 0.42837673)]"
2246,2246,12.0,0.3590916097164154,"[(2, 0.015307496), (5, 0.2570001), (7, 0.2538712), (12, 0.3590916), (15, 0.015018797), (21, 0.01947125), (22, 0.014115478), (25, 0.014895631), (29, 0.042668507)]"
2247,2247,5.0,0.7887458205223083,"[(5, 0.7887458), (11, 0.020839341), (19, 0.02415994), (22, 0.05692604), (24, 0.10006393)]"
2248,2248,5.0,0.46405571699142456,"[(0, 0.2975787), (3, 0.03434487), (5, 0.46405572), (13, 0.11199931), (15, 0.017751778), (29, 0.06314531)]"
2249,2249,5.0,0.5306949615478516,"[(0, 0.15621407), (5, 0.53069496), (13, 0.049102515), (14, 0.038506687), (20, 0.098100536), (22, 0.1154269)]"
2250,2250,24.0,0.6074122786521912,"[(5, 0.029842213), (9, 0.21583238), (10, 0.072846085), (13, 0.01489655), (16, 0.04928375), (24, 0.6074123)]"
2251,2251,2.0,0.4637259840965271,"[(2, 0.46372598), (11, 0.074590795), (12, 0.11849326), (14, 0.018260919), (18, 0.058339193), (23, 0.23187718), (26, 0.023255592)]"
2252,2252,24.0,0.615788459777832,"[(0, 0.020054217), (5, 0.04176291), (16, 0.19834484), (20, 0.030657524), (22, 0.040932205), (24, 0.61578846), (28, 0.03822208)]"
2253,2253,22.0,0.8895980715751648,"[(10, 0.06708528), (11, 0.031143993), (22, 0.889598)]"
2254,2254,23.0,0.3865601718425751,"[(2, 0.14620583), (4, 0.027839195), (6, 0.1436924), (8, 0.089064404), (10, 0.094165735), (21, 0.027439844), (23, 0.38656017), (25, 0.05511514), (26, 0.025120212)]"
2255,2255,26.0,0.5355928540229797,"[(3, 0.013529798), (18, 0.01131628), (22, 0.43062395), (26, 0.53559285)]"
2256,2256,9.0,0.8452609777450562,"[(1, 0.09228661), (6, 0.035497572), (9, 0.845261), (28, 0.019670174)]"
2257,2257,17.0,0.7308180928230286,"[(12, 0.112357125), (13, 0.012025947), (16, 0.0722753), (17, 0.7308181), (19, 0.0656874)]"
2258,2258,15.0,0.811585009098053,"[(2, 0.045123182), (5, 0.015586615), (12, 0.076090425), (15, 0.811585), (29, 0.03364697)]"
2259,2259,15.0,0.4622465968132019,"[(7, 0.11179446), (10, 0.054482553), (12, 0.049117368), (15, 0.4622466), (17, 0.06839228), (19, 0.23640367), (21, 0.0109502645)]"
2260,2260,13.0,0.2878895103931427,"[(2, 0.04635077), (4, 0.030338142), (7, 0.11245663), (13, 0.2878895), (14, 0.13727081), (15, 0.04629937), (18, 0.07609785), (19, 0.15012798), (28, 0.10462337)]"
2261,2261,8.0,0.7598482966423035,"[(3, 0.16510835), (8, 0.7598483), (13, 0.016392348), (25, 0.010508037), (26, 0.033821046)]"
2262,2262,5.0,0.8194458484649658,"[(3, 0.039252456), (5, 0.81944585), (17, 0.13392192)]"
2263,2263,25.0,0.33334824442863464,"[(5, 0.063986674), (13, 0.14115599), (16, 0.123648815), (17, 0.17926471), (25, 0.33334824), (27, 0.15089975)]"
2264,2264,3.0,0.7784733772277832,"[(3, 0.7784734), (5, 0.028335167), (14, 0.17403316)]"
2265,2265,3.0,0.3959285020828247,"[(2, 0.27082616), (3, 0.3959285), (18, 0.035313487), (24, 0.27165228)]"
2266,2266,2.0,0.5216864347457886,"[(2, 0.52168643), (6, 0.15271741), (12, 0.05061056), (21, 0.035772353), (23, 0.046590023), (26, 0.1368136), (27, 0.046716165)]"
2267,2267,12.0,0.5067481994628906,"[(0, 0.24761462), (12, 0.5067482), (17, 0.15160275), (22, 0.0598617), (27, 0.025578078)]"
2268,2268,25.0,0.7974953651428223,"[(0, 0.060765784), (13, 0.107044384), (20, 0.013669219), (25, 0.79749537)]"
2269,2269,5.0,0.6935932636260986,"[(0, 0.03510822), (3, 0.12427901), (5, 0.69359326), (9, 0.08953), (16, 0.046659242)]"
2270,2270,10.0,0.8431621193885803,"[(3, 0.04285047), (10, 0.8431621), (12, 0.047194175), (25, 0.04292986), (29, 0.015439831)]"
2271,2271,13.0,0.9508164525032043,"[(13, 0.95081645), (16, 0.01423917), (28, 0.02620292)]"
2272,2272,9.0,0.6306442618370056,"[(3, 0.027436329), (7, 0.031629544), (9, 0.63064426), (16, 0.029935202), (19, 0.04634743), (22, 0.19201726), (24, 0.021422856), (25, 0.013364448)]"
2273,2273,26.0,0.42686641216278076,"[(4, 0.23084463), (5, 0.1066129), (8, 0.017831877), (9, 0.013360694), (16, 0.09330357), (19, 0.029634103), (21, 0.07259047), (26, 0.4268664)]"
2274,2274,22.0,0.6743630766868591,"[(0, 0.015399088), (7, 0.013554207), (9, 0.10209457), (14, 0.18375742), (22, 0.6743631)]"
2275,2275,5.0,0.7757605314254761,"[(5, 0.77576053), (11, 0.07786824), (19, 0.011621578), (20, 0.027252141), (29, 0.09852879)]"
2276,2276,16.0,0.3557942509651184,"[(3, 0.27938893), (13, 0.17293678), (15, 0.01691787), (16, 0.35579425), (21, 0.11485735), (29, 0.047392536)]"
2277,2277,8.0,0.541471540927887,"[(3, 0.1917406), (6, 0.07504929), (8, 0.54147154), (10, 0.01593217), (20, 0.11526739), (28, 0.051440835)]"
2278,2278,3.0,0.36538028717041016,"[(3, 0.3653803), (5, 0.033547692), (6, 0.14639544), (8, 0.25129497), (14, 0.16260915), (18, 0.023720002)]"
2279,2279,11.0,0.32901865243911743,"[(9, 0.28247535), (11, 0.32901865), (14, 0.03460355), (18, 0.03344004), (27, 0.30871913)]"
2280,2280,3.0,0.17178499698638916,"[(1, 0.16550997), (3, 0.171785), (5, 0.10637812), (7, 0.13398024), (14, 0.017437546), (18, 0.15780926), (20, 0.07035228), (24, 0.15471017), (27, 0.017069126)]"
2281,2281,26.0,0.4508821368217468,"[(2, 0.31009603), (5, 0.13894874), (26, 0.45088214)]"
2282,2282,11.0,0.4992307126522064,"[(11, 0.49923074), (19, 0.017491844), (20, 0.25539201), (27, 0.21938656)]"
2283,2283,12.0,0.3834102153778076,"[(7, 0.04725322), (10, 0.015130192), (12, 0.38341022), (13, 0.17565928), (15, 0.2912408), (20, 0.08223961)]"
2284,2284,16.0,0.5793144702911377,"[(1, 0.25806853), (6, 0.028117491), (11, 0.07721537), (16, 0.5793145), (18, 0.04963591)]"
2285,2285,25.0,0.2898624837398529,"[(0, 0.16444156), (1, 0.09527905), (4, 0.017010998), (5, 0.054593243), (17, 0.15962143), (19, 0.04553463), (20, 0.15234573), (21, 0.013693848), (25, 0.28986248)]"
2286,2286,15.0,0.5271488428115845,"[(5, 0.052902933), (11, 0.39900342), (15, 0.52714884)]"
2287,2287,25.0,0.4095326066017151,"[(0, 0.31519952), (5, 0.06468915), (9, 0.13931072), (10, 0.020080106), (18, 0.021742739), (25, 0.4095326), (26, 0.018634254)]"
2288,2288,13.0,0.24029499292373657,"[(2, 0.22560005), (7, 0.012247204), (12, 0.19564046), (13, 0.240295), (14, 0.0115971565), (16, 0.050294027), (17, 0.057159666), (20, 0.09296266), (22, 0.050108153), (23, 0.057550896)]"
2289,2289,23.0,0.2959778606891632,"[(4, 0.0986585), (9, 0.19590117), (12, 0.04727263), (13, 0.01844073), (15, 0.16968694), (23, 0.29597786), (25, 0.15014645), (27, 0.017420439)]"
2290,2290,12.0,0.7067529559135437,"[(10, 0.016219057), (12, 0.70675296), (13, 0.015748508), (16, 0.09312584), (17, 0.087582424), (25, 0.023292128), (28, 0.046172746)]"
2291,2291,15.0,0.44192957878112793,"[(0, 0.15259361), (3, 0.094900444), (5, 0.0383495), (12, 0.1789715), (15, 0.44192955), (29, 0.07785764)]"
2292,2292,29.0,0.5969939827919006,"[(2, 0.23965427), (12, 0.03599106), (22, 0.078611664), (25, 0.04088399), (29, 0.596994)]"
2293,2293,5.0,0.6328915953636169,"[(0, 0.013692058), (3, 0.049682863), (5, 0.6328916), (29, 0.29289415)]"
2294,2294,8.0,0.4150088131427765,"[(3, 0.038730185), (8, 0.4150088), (10, 0.13139382), (14, 0.015885467), (20, 0.032409653), (25, 0.35726306)]"
2295,2295,5.0,0.5736179351806641,"[(1, 0.028240675), (5, 0.57361794), (7, 0.042194284), (11, 0.05365749), (18, 0.29281488)]"
2296,2296,27.0,0.40205156803131104,"[(1, 0.08384645), (12, 0.13924003), (13, 0.36857873), (27, 0.40205157)]"
2297,2297,10.0,0.7417742609977722,"[(1, 0.054267462), (9, 0.0628325), (10, 0.74177426), (20, 0.13127314)]"
2298,2298,13.0,0.8594699501991272,"[(13, 0.85946995), (17, 0.055848125), (24, 0.06592305)]"
2299,2299,2.0,0.4799898564815521,"[(0, 0.085219726), (2, 0.47998986), (3, 0.2087015), (12, 0.02245429), (14, 0.067966804), (22, 0.02296568), (24, 0.10088887)]"
2300,2300,28.0,0.48281875252723694,"[(0, 0.027144212), (12, 0.101092786), (15, 0.037494615), (17, 0.22453249), (20, 0.022147456), (27, 0.08941236), (28, 0.48281875)]"
2301,2301,12.0,0.6111353039741516,"[(12, 0.6111353), (14, 0.047287922), (19, 0.28436524), (22, 0.015408246), (25, 0.01717987)]"
2302,2302,8.0,0.6165235638618469,"[(3, 0.041611254), (6, 0.08769736), (8, 0.61652356), (17, 0.0729124), (20, 0.01646365), (25, 0.14567202)]"
2303,2303,12.0,0.40790215134620667,"[(12, 0.40790215), (13, 0.13405566), (14, 0.025108805), (17, 0.106860794), (18, 0.02408485), (19, 0.17366129), (25, 0.023592569), (27, 0.100175664)]"
2304,2304,5.0,0.5253574252128601,"[(3, 0.36078444), (4, 0.026890077), (5, 0.5253574), (14, 0.06851708)]"
2305,2305,14.0,0.34448879957199097,"[(0, 0.0111134965), (1, 0.0111134965), (2, 0.0111134965), (3, 0.0111134965), (4, 0.0111134965), (5, 0.0111134965), (6, 0.0111134965), (7, 0.34433335), (8, 0.0111134965), (9, 0.0111134965), (10, 0.0111134965), (11, 0.0111134965), (12, 0.0111134965), (13, 0.0111134965), (14, 0.3444888), (15, 0.0111134965), (16, 0.0111134965), (17, 0.0111134965), (18, 0.0111134965), (19, 0.0111134965), (20, 0.0111134965), (21, 0.0111134965), (22, 0.0111134965), (23, 0.0111134965), (24, 0.0111134965), (25, 0.0111134965), (26, 0.0111134965), (27, 0.0111134965), (28, 0.0111134965), (29, 0.0111134965)]"
2306,2306,3.0,0.8847985863685608,"[(3, 0.8847985), (14, 0.029403994), (20, 0.042506006), (23, 0.0102822175), (29, 0.025560392)]"
2307,2307,5.0,0.7677521705627441,"[(0, 0.05230578), (3, 0.086195596), (5, 0.7677522), (11, 0.044796098), (14, 0.012784392), (16, 0.013406526), (25, 0.013390188)]"
2308,2308,20.0,0.32174593210220337,"[(1, 0.016335381), (3, 0.091407515), (5, 0.029080607), (14, 0.07654131), (16, 0.14104164), (19, 0.010707732), (20, 0.32174593), (21, 0.06768715), (22, 0.08329273), (23, 0.03512672), (27, 0.120133564)]"
2309,2309,5.0,0.30374786257743835,"[(5, 0.30374786), (7, 0.067271985), (8, 0.03685473), (11, 0.17787579), (21, 0.033958048), (23, 0.071752295), (29, 0.29773328)]"
2310,2310,5.0,0.7830787897109985,"[(5, 0.7830788), (7, 0.016866617), (9, 0.016005399), (11, 0.017589344), (14, 0.016906409), (18, 0.015815925), (21, 0.06891723), (27, 0.036928784), (29, 0.017431658)]"
2311,2311,5.0,0.5398774147033691,"[(5, 0.5398774), (8, 0.012370993), (11, 0.018617928), (16, 0.23170982), (18, 0.02954015), (20, 0.036330737), (21, 0.0717564), (23, 0.023741167), (26, 0.011046431)]"
2312,2312,5.0,0.6057011485099792,"[(2, 0.043424338), (5, 0.60570115), (11, 0.09750077), (20, 0.021166444), (21, 0.10877612), (22, 0.05019109), (29, 0.05757356)]"
2313,2313,21.0,0.49362504482269287,"[(3, 0.032415383), (5, 0.14448553), (6, 0.14213385), (18, 0.02368443), (21, 0.49362502), (29, 0.14364624)]"
2314,2314,13.0,0.7722680568695068,"[(13, 0.77226806), (18, 0.025134843), (19, 0.07024689), (26, 0.019034533), (28, 0.1048045)]"
2315,2315,21.0,0.3856699764728546,"[(3, 0.08496538), (5, 0.20434296), (6, 0.080857955), (19, 0.108617544), (21, 0.38566998), (24, 0.08726879), (25, 0.03406115)]"
2316,2316,2.0,0.4409068524837494,"[(2, 0.44090685), (6, 0.29076955), (10, 0.02253239), (18, 0.12205321), (23, 0.10636446)]"
2317,2317,3.0,0.6686056852340698,"[(0, 0.04167772), (2, 0.18989478), (3, 0.6686057), (5, 0.01768265), (6, 0.053420234), (21, 0.018320523)]"
2318,2318,11.0,0.8275554776191711,"[(11, 0.8275555), (12, 0.02226353), (13, 0.05139153), (19, 0.05147853), (22, 0.028313126)]"
2319,2319,26.0,0.48725247383117676,"[(3, 0.019433856), (5, 0.024903549), (9, 0.01442663), (11, 0.03413409), (22, 0.4091661), (26, 0.48725247)]"
2320,2320,19.0,0.5121832489967346,"[(7, 0.052191593), (12, 0.3414302), (17, 0.08725909), (19, 0.51218325)]"
2321,2321,10.0,0.8928314447402954,"[(10, 0.89283144), (11, 0.0106346365), (29, 0.08762048)]"
2322,2322,11.0,0.6266034245491028,"[(11, 0.6266034), (16, 0.2170652), (25, 0.03366364), (27, 0.09787788)]"
2323,2323,19.0,0.46593761444091797,"[(2, 0.044463534), (5, 0.016484883), (10, 0.33667138), (15, 0.09654233), (17, 0.034261834), (19, 0.4659376)]"
2324,2324,13.0,0.9894919991493225,"[(13, 0.989492)]"
2325,2325,4.0,0.8393750786781311,"[(4, 0.8393751), (5, 0.032220047), (6, 0.018601155), (11, 0.050740045), (12, 0.027390882), (18, 0.013593987), (22, 0.011284848)]"
2326,2326,3.0,0.8587096333503723,"[(2, 0.04784614), (3, 0.85870963), (7, 0.011999018), (10, 0.0365806), (18, 0.024075039), (21, 0.012270498)]"
2327,2327,12.0,0.6858111023902893,"[(3, 0.015017455), (5, 0.013117967), (12, 0.6858111), (13, 0.15413189), (29, 0.123188496)]"
2328,2328,17.0,0.37164339423179626,"[(10, 0.048580114), (12, 0.24300092), (17, 0.3716434), (25, 0.32801893)]"
2329,2329,27.0,0.4702014923095703,"[(0, 0.013459388), (1, 0.4071954), (21, 0.0259503), (27, 0.4702015), (28, 0.052033927)]"
2330,2330,5.0,0.8945780992507935,"[(5, 0.89457804), (11, 0.0554997), (15, 0.012950147), (25, 0.02664265)]"
2331,2331,14.0,0.8073690533638,"[(3, 0.10465999), (14, 0.80736905), (18, 0.025605671), (21, 0.04942183)]"
2332,2332,28.0,0.39202409982681274,"[(10, 0.12022322), (12, 0.22097091), (15, 0.02376425), (19, 0.19750513), (23, 0.03774056), (28, 0.3920241)]"
2333,2333,12.0,0.4793884754180908,"[(10, 0.02346021), (11, 0.030561663), (12, 0.47938848), (13, 0.112622626), (15, 0.029852679), (23, 0.10338536), (25, 0.21443997)]"
2334,2334,13.0,0.8768727779388428,"[(13, 0.87687284), (16, 0.026010802), (25, 0.06510615), (28, 0.021023352)]"
2335,2335,12.0,0.5283404588699341,"[(2, 0.024771083), (12, 0.52834046), (13, 0.10581708), (29, 0.33628166)]"
2336,2336,24.0,0.8757023811340332,"[(6, 0.0155788725), (17, 0.09547682), (24, 0.8757024)]"
2337,2337,5.0,0.5520596504211426,"[(1, 0.030791761), (3, 0.21197578), (5, 0.55205965), (24, 0.024224887), (26, 0.0661401), (29, 0.09845595)]"
2338,2338,15.0,0.5436820387840271,"[(12, 0.07868859), (14, 0.043100204), (15, 0.54368204), (17, 0.29527265), (19, 0.03236627)]"
2339,2339,16.0,0.714189350605011,"[(2, 0.035554253), (10, 0.01008657), (12, 0.08669713), (16, 0.71418935), (17, 0.027565664), (24, 0.042320326), (28, 0.077862605)]"
2340,2340,5.0,0.8472394347190857,"[(1, 0.011029715), (5, 0.84723943), (8, 0.014159072), (11, 0.03273892), (29, 0.086407736)]"
2341,2341,1.0,0.3937130272388458,"[(1, 0.39371303), (2, 0.19294065), (3, 0.140423), (10, 0.19293122), (17, 0.021968083), (24, 0.041685905)]"
2342,2342,8.0,0.38574159145355225,"[(1, 0.041175), (3, 0.20267051), (6, 0.02957165), (8, 0.3857416), (17, 0.034441266), (25, 0.29949886)]"
2343,2343,11.0,0.20513109862804413,"[(3, 0.20236963), (7, 0.11211423), (8, 0.12149762), (11, 0.2051311), (19, 0.07698946), (21, 0.16683249), (26, 0.10085739)]"
2344,2344,12.0,0.7420765161514282,"[(12, 0.7420765), (16, 0.23997167)]"
2345,2345,14.0,0.25852441787719727,"[(9, 0.257959), (14, 0.25852442), (16, 0.2582353)]"
2346,2346,11.0,0.3693034052848816,"[(3, 0.20384553), (4, 0.018474462), (5, 0.09938408), (7, 0.04371247), (11, 0.3693034), (22, 0.063201435), (25, 0.020299716), (29, 0.16973872)]"
