,0,1
23,23,"0.026*""cu"" + 0.023*""co"" + 0.021*""colorimetric"" + 0.018*""chemosensor"" + 0.012*""limit"" + 0.011*""color"" + 0.010*""copper"" + 0.008*""water"" + 0.008*""decision"" + 0.008*""could"""
24,24,"0.012*""fuel"" + 0.011*""material"" + 0.011*""carbon"" + 0.009*""service"" + 0.009*""motor"" + 0.008*""injection"" + 0.008*""torque"" + 0.007*""acid"" + 0.007*""simulation"" + 0.006*""injector"""
25,25,"0.024*""crack"" + 0.021*""fracture"" + 0.011*""alloy"" + 0.010*""mo"" + 0.010*""pipe"" + 0.009*""strain"" + 0.008*""specimen"" + 0.008*""energy"" + 0.007*""material"" + 0.007*""surface"""
26,26,"0.012*""power"" + 0.008*""algorithm"" + 0.007*""t"" + 0.006*""object"" + 0.006*""voltage"" + 0.006*""array"" + 0.006*""sensor"" + 0.005*""black"" + 0.005*""autonomous"" + 0.005*""concussion"""
27,27,"0.022*""specimen"" + 0.020*""strength"" + 0.016*""material"" + 0.012*""railway"" + 0.011*""fiber"" + 0.008*""plastic"" + 0.008*""metal"" + 0.007*""slab"" + 0.007*""printing"" + 0.007*""reinforced"""
28,28,"0.013*""patent"" + 0.012*""authentication"" + 0.009*""security"" + 0.009*""physical"" + 0.009*""optimization"" + 0.009*""attack"" + 0.009*""use"" + 0.007*""service"" + 0.007*""indoor"" + 0.007*""stage"""
29,29,"0.029*""climate"" + 0.019*""rainfall"" + 0.013*""projection"" + 0.012*""rcp"" + 0.012*""drought"" + 0.010*""gcms"" + 0.009*""correction"" + 0.008*""circulation"" + 0.008*""surface"" + 0.008*""ensemble"""
30,30,"0.011*""membrane"" + 0.010*""pile"" + 0.009*""cell"" + 0.007*""amyloid"" + 0.007*""acoustic"" + 0.006*""microfluidic"" + 0.006*""bending"" + 0.005*""microneedle"" + 0.005*""leachate"" + 0.005*""chemical"""
31,31,"0.015*""water"" + 0.008*""cell"" + 0.008*""liposome"" + 0.008*""membrane"" + 0.006*""environmental"" + 0.006*""penetration"" + 0.006*""peptide"" + 0.006*""skin"" + 0.006*""drug"" + 0.005*""management"""
32,32,"0.024*""image"" + 0.019*""power"" + 0.016*""virtual"" + 0.015*""motor"" + 0.014*""inverter"" + 0.013*""drive"" + 0.012*""lifetime"" + 0.010*""module"" + 0.009*""reality"" + 0.008*""vr"""
33,33,"0.022*""particle"" + 0.013*""powder"" + 0.013*""property"" + 0.013*""oxide"" + 0.012*""water"" + 0.011*""mechanical"" + 0.011*""size"" + 0.010*""alloy"" + 0.009*""al"" + 0.009*""temperature"""
34,34,"0.015*""heating"" + 0.015*""energy"" + 0.012*""effect"" + 0.010*""torque"" + 0.007*""motor"" + 0.007*""speed"" + 0.006*""surface"" + 0.005*""embryo"" + 0.005*""zinc"" + 0.005*""controller"""
35,35,"0.024*""energy"" + 0.014*""public"" + 0.012*""renewable"" + 0.011*""emulsion"" + 0.009*""wind"" + 0.009*""willingness"" + 0.008*""satisfaction"" + 0.008*""customer"" + 0.007*""oil"" + 0.007*""food"""
36,36,"0.012*""membrane"" + 0.010*""cell"" + 0.009*""biofilm"" + 0.008*""surface"" + 0.007*""felt"" + 0.007*""carbon"" + 0.006*""yeast"" + 0.006*""effect"" + 0.006*""emulsion"" + 0.006*""oxide"""
37,37,"0.035*""algorithm"" + 0.027*""image"" + 0.025*""cell"" + 0.022*""deep"" + 0.020*""object"" + 0.015*""neural"" + 0.013*""hydrogel"" + 0.011*""tissue"" + 0.011*""convolutional"" + 0.010*""segmentation"""
38,38,"0.017*""precipitation"" + 0.010*""climate"" + 0.009*""temperature"" + 0.009*""state"" + 0.009*""water"" + 0.008*""gcms"" + 0.007*""magnetic"" + 0.007*""spectroscopy"" + 0.007*""station"" + 0.005*""gauge"""
39,39,"0.018*""fluorescence"" + 0.013*""zn"" + 0.013*""fluorescent"" + 0.010*""zinc"" + 0.009*""sensor"" + 0.008*""cost"" + 0.008*""water"" + 0.007*""signal"" + 0.007*""algorithm"" + 0.007*""chemosensor"""
40,40,"0.058*""iot"" + 0.051*""blockchain"" + 0.050*""smart"" + 0.043*""security"" + 0.039*""internet"" + 0.035*""thing"" + 0.020*""city"" + 0.017*""architecture"" + 0.015*""service"" + 0.010*""privacy"""
41,41,"0.045*""grid"" + 0.023*""voltage"" + 0.018*""inverter"" + 0.015*""energy"" + 0.015*""state"" + 0.013*""observer"" + 0.013*""connected"" + 0.011*""controller"" + 0.010*""steel"" + 0.010*""hydrogen"""
42,42,"0.010*""microchannel"" + 0.009*""si"" + 0.009*""cross"" + 0.009*""social"" + 0.008*""mitochondrial"" + 0.008*""pdms"" + 0.008*""physical"" + 0.007*""etching"" + 0.007*""insulin"" + 0.006*""parallelogram"""
43,43,"0.017*""forming"" + 0.013*""government"" + 0.011*""local"" + 0.010*""quantum"" + 0.009*""trust"" + 0.009*""path"" + 0.007*""military"" + 0.007*""sheet"" + 0.007*""fiber"" + 0.007*""graphene"""
44,44,"0.026*""heat"" + 0.009*""ground"" + 0.009*""cooling"" + 0.007*""energy"" + 0.007*""thermal"" + 0.007*""power"" + 0.007*""effect"" + 0.007*""pump"" + 0.006*""also"" + 0.005*""digital"""
