,0,1
0,0,"0.015*""pressure"" + 0.010*""sensor"" + 0.008*""antenna"" + 0.008*""roll"" + 0.008*""color"" + 0.007*""filter"" + 0.006*""active"" + 0.006*""risk"" + 0.006*""impedance"" + 0.006*""radiation"""
1,1,"0.043*""power"" + 0.037*""dc"" + 0.036*""converter"" + 0.032*""voltage"" + 0.012*""switching"" + 0.010*""electric"" + 0.008*""capacitor"" + 0.008*""circuit"" + 0.008*""injection"" + 0.007*""video"""
2,2,"0.018*""adsorption"" + 0.011*""algorithm"" + 0.010*""memory"" + 0.008*""zr"" + 0.007*""metal"" + 0.007*""uio"" + 0.006*""hybrid"" + 0.006*""toluene"" + 0.006*""mimo"" + 0.006*""optimization"""
3,3,"0.013*""alloy"" + 0.013*""material"" + 0.013*""memory"" + 0.010*""non"" + 0.009*""temperature"" + 0.008*""magnesium"" + 0.007*""size"" + 0.007*""az"" + 0.007*""grain"" + 0.006*""energy"""
4,4,"0.012*""wave"" + 0.008*""motion"" + 0.008*""water"" + 0.007*""strain"" + 0.006*""mortar"" + 0.006*""store"" + 0.006*""content"" + 0.006*""ground"" + 0.006*""rule"" + 0.006*""distance"""
5,5,"0.016*""cell"" + 0.011*""charge"" + 0.009*""pepper"" + 0.009*""effect"" + 0.009*""circuit"" + 0.008*""plant"" + 0.008*""protein"" + 0.008*""membrane"" + 0.008*""animal"" + 0.008*""oil"""
6,6,"0.047*""cell"" + 0.035*""fuel"" + 0.017*""glucose"" + 0.015*""oxide"" + 0.013*""catalyst"" + 0.012*""temperature"" + 0.010*""gox"" + 0.009*""power"" + 0.008*""acid"" + 0.006*""voltage"""
7,7,"0.016*""memory"" + 0.010*""precipitation"" + 0.009*""defect"" + 0.009*""search"" + 0.008*""user"" + 0.008*""springer"" + 0.008*""rainfall"" + 0.007*""one"" + 0.007*""game"" + 0.007*""printing"""
8,8,"0.023*""steel"" + 0.019*""protein"" + 0.015*""cell"" + 0.013*""strength"" + 0.012*""expression"" + 0.012*""effect"" + 0.011*""bone"" + 0.009*""microstructure"" + 0.008*""tensile"" + 0.007*""kinase"""
9,9,"0.046*""antenna"" + 0.020*""energy"" + 0.018*""sensor"" + 0.016*""band"" + 0.015*""wave"" + 0.015*""ghz"" + 0.014*""power"" + 0.010*""electricity"" + 0.010*""heat"" + 0.007*""compact"""
10,10,"0.020*""power"" + 0.015*""temperature"" + 0.011*""joint"" + 0.011*""risk"" + 0.009*""effect"" + 0.007*""tensile"" + 0.006*""algorithm"" + 0.005*""welding"" + 0.005*""quality"" + 0.005*""hrm"""
11,11,"0.009*""bending"" + 0.008*""behavior"" + 0.008*""surface"" + 0.007*""plate"" + 0.007*""robot"" + 0.007*""order"" + 0.006*""sensor"" + 0.006*""mouse"" + 0.006*""ro"" + 0.006*""cinnamycin"""
12,12,"0.011*""strength"" + 0.008*""railway"" + 0.007*""user"" + 0.007*""body"" + 0.007*""content"" + 0.006*""zno"" + 0.006*""keyboard"" + 0.006*""walking"" + 0.006*""robot"" + 0.006*""quadruped"""
13,13,"0.025*""power"" + 0.012*""water"" + 0.009*""steering"" + 0.009*""carbon"" + 0.008*""simulation"" + 0.007*""fruit"" + 0.007*""front"" + 0.007*""neural"" + 0.006*""machine"" + 0.006*""organic"""
14,14,"0.011*""drought"" + 0.008*""ac"" + 0.008*""controller"" + 0.007*""bank"" + 0.007*""acid"" + 0.007*""weight"" + 0.006*""pension"" + 0.006*""incident"" + 0.006*""stage"" + 0.006*""caput"""
15,15,"0.037*""cu"" + 0.021*""temperature"" + 0.019*""bonding"" + 0.019*""film"" + 0.014*""plasma"" + 0.014*""surface"" + 0.014*""deposition"" + 0.012*""atomic"" + 0.012*""thin"" + 0.011*""thermal"""
16,16,"0.021*""pb"" + 0.018*""surface"" + 0.016*""adsorption"" + 0.015*""cesium"" + 0.014*""material"" + 0.012*""water"" + 0.011*""chemical"" + 0.010*""carbon"" + 0.008*""acid"" + 0.007*""blue"""
17,17,"0.030*""film"" + 0.015*""oxide"" + 0.012*""surface"" + 0.011*""property"" + 0.009*""doped"" + 0.009*""nanoparticles"" + 0.008*""energy"" + 0.008*""optical"" + 0.007*""ion"" + 0.007*""electrochemical"""
18,18,"0.014*""material"" + 0.013*""electrode"" + 0.009*""lithium"" + 0.008*""energy"" + 0.008*""neural"" + 0.008*""gas"" + 0.008*""light"" + 0.007*""deep"" + 0.007*""electrochemical"" + 0.007*""effect"""
19,19,"0.014*""surface"" + 0.011*""cu"" + 0.010*""polymer"" + 0.009*""micro"" + 0.008*""material"" + 0.008*""social"" + 0.007*""user"" + 0.007*""pressure"" + 0.006*""entrepreneurship"" + 0.005*""water"""
20,20,"0.015*""shell"" + 0.013*""blood"" + 0.011*""acid"" + 0.011*""human"" + 0.009*""drug"" + 0.008*""cholesterol"" + 0.007*""male"" + 0.007*""vascular"" + 0.006*""stiffness"" + 0.006*""adult"""
21,21,"0.020*""temperature"" + 0.017*""redox"" + 0.014*""fe"" + 0.014*""electrolyte"" + 0.012*""catalyst"" + 0.012*""battery"" + 0.011*""acid"" + 0.011*""effect"" + 0.010*""electrochemical"" + 0.010*""oxidation"""
22,22,"0.040*""antenna"" + 0.015*""energy"" + 0.010*""bandwidth"" + 0.009*""ultra"" + 0.009*""band"" + 0.008*""television"" + 0.008*""tv"" + 0.006*""wideband"" + 0.006*""mimo"" + 0.006*""uhf"""
