,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
1404,1404,4.0,0.8240368962287903,"[(4, 0.8240369), (13, 0.16674119)]"
1405,1405,12.0,0.4574359655380249,"[(10, 0.08484674), (11, 0.18687575), (12, 0.45743594), (13, 0.26357555)]"
1406,1406,2.0,0.9933305978775024,"[(2, 0.9933306)]"
1407,1407,7.0,0.9884753823280334,"[(7, 0.98847544)]"
1408,1408,4.0,0.9897403120994568,"[(4, 0.9897404)]"
1409,1409,0.0,0.6624321937561035,"[(0, 0.6624322), (4, 0.32898188)]"
1410,1410,2.0,0.9766603708267212,"[(2, 0.9766604)]"
1411,1411,10.0,0.47080284357070923,"[(2, 0.3708023), (10, 0.47080284), (12, 0.05179175), (14, 0.09395365)]"
1412,1412,10.0,0.9936911463737488,"[(10, 0.99369115)]"
1413,1413,12.0,0.5000951886177063,"[(2, 0.4937986), (12, 0.5000952)]"
1414,1414,7.0,0.9862706065177917,"[(7, 0.9862706)]"
1415,1415,13.0,0.9881774187088013,"[(13, 0.98817736)]"
1416,1416,4.0,0.8559631705284119,"[(4, 0.8559632), (8, 0.10626766), (10, 0.029428454)]"
1417,1417,14.0,0.611082911491394,"[(12, 0.37917304), (14, 0.6110829)]"
1418,1418,4.0,0.9887497425079346,"[(4, 0.98874974)]"
1419,1419,13.0,0.9833213686943054,"[(13, 0.98332137)]"
1420,1420,4.0,0.9896262884140015,"[(4, 0.9896262)]"
1421,1421,13.0,0.9929260015487671,"[(13, 0.992926)]"
1422,1422,4.0,0.8086914420127869,"[(2, 0.1383352), (4, 0.80869144), (8, 0.039398294)]"
1423,1423,5.0,0.987030029296875,"[(5, 0.98703)]"
1424,1424,7.0,0.4898732602596283,"[(1, 0.12320022), (7, 0.48987323), (9, 0.21174829), (13, 0.16600399)]"
1425,1425,4.0,0.4271276295185089,"[(4, 0.42712763), (8, 0.16889012), (12, 0.394675)]"
1426,1426,11.0,0.3787057399749756,"[(11, 0.37870574), (13, 0.30925488), (14, 0.30352262)]"
1427,1427,8.0,0.812084436416626,"[(7, 0.17888509), (8, 0.81208444)]"
1428,1428,8.0,0.5617328882217407,"[(3, 0.42357245), (8, 0.5617329)]"
1429,1429,0.0,0.6671028137207031,"[(0, 0.6671028), (7, 0.23928164), (9, 0.033623807), (12, 0.054347202)]"
1430,1430,1.0,0.9900662899017334,"[(1, 0.9900663)]"
1431,1431,13.0,0.4786017835140228,"[(1, 0.3034768), (9, 0.2109608), (13, 0.47860178)]"
1432,1432,10.0,0.7204269170761108,"[(3, 0.18716176), (5, 0.08113402), (10, 0.7204269)]"
1433,1433,10.0,0.5207019448280334,"[(3, 0.4753742), (10, 0.52070194)]"
1434,1434,2.0,0.7553440928459167,"[(2, 0.7553441), (5, 0.23277757)]"
1435,1435,0.0,0.9841757416725159,"[(0, 0.98417574)]"
1436,1436,10.0,0.6078575849533081,"[(2, 0.1267247), (9, 0.25031632), (10, 0.6078576)]"
1437,1437,12.0,0.634242832660675,"[(9, 0.35543287), (12, 0.63424283)]"
1438,1438,7.0,0.6048406958580017,"[(7, 0.6048407), (13, 0.38811007)]"
1439,1439,4.0,0.8435789346694946,"[(4, 0.84357893), (8, 0.14544195)]"
1440,1440,13.0,0.9823780655860901,"[(13, 0.98237807)]"
1441,1441,1.0,0.9877130389213562,"[(1, 0.987713)]"
1442,1442,10.0,0.6633539199829102,"[(8, 0.3285379), (10, 0.6633539)]"
1443,1443,0.0,0.9964501261711121,"[(0, 0.99645007)]"
1444,1444,7.0,0.9911929965019226,"[(7, 0.99119294)]"
1445,1445,12.0,0.8131135702133179,"[(10, 0.047594797), (12, 0.8131136), (13, 0.12473991)]"
1446,1446,5.0,0.4115760624408722,"[(0, 0.28986195), (1, 0.0821461), (3, 0.20204255), (5, 0.41157606), (14, 0.011649054)]"
1447,1447,9.0,0.408426433801651,"[(2, 0.32966402), (7, 0.1747803), (9, 0.40842643), (10, 0.081805915)]"
1448,1448,3.0,0.9945082068443298,"[(3, 0.99450815)]"
1449,1449,9.0,0.9922189116477966,"[(9, 0.992219)]"
1450,1450,12.0,0.4752891957759857,"[(4, 0.13455893), (9, 0.38237908), (12, 0.47528917)]"
1451,1451,5.0,0.9967459440231323,"[(5, 0.99674594)]"
1452,1452,2.0,0.9616087079048157,"[(2, 0.9616087), (8, 0.029265333)]"
1453,1453,1.0,0.5182737708091736,"[(1, 0.5182738), (2, 0.46623823)]"
1454,1454,10.0,0.9906615018844604,"[(10, 0.99066156)]"
1455,1455,5.0,0.9474074840545654,"[(5, 0.9474074), (10, 0.04755056)]"
1456,1456,12.0,0.9926473498344421,"[(12, 0.9926474)]"
1457,1457,1.0,0.9947839379310608,"[(1, 0.99478394)]"
1458,1458,4.0,0.8441479802131653,"[(4, 0.844148), (10, 0.01358189), (12, 0.022318866), (13, 0.112440325)]"
1459,1459,14.0,0.8763430118560791,"[(7, 0.11423471), (14, 0.876343)]"
1460,1460,13.0,0.9718407988548279,"[(10, 0.023544153), (13, 0.97184086)]"
1461,1461,14.0,0.9931844472885132,"[(14, 0.99318445)]"
1462,1462,7.0,0.620388388633728,"[(7, 0.6203884), (10, 0.36956322)]"
1463,1463,1.0,0.7238260507583618,"[(1, 0.72382605), (8, 0.2672347)]"
1464,1464,2.0,0.8282977938652039,"[(2, 0.8282978), (9, 0.16508295)]"
1465,1465,4.0,0.4741499423980713,"[(4, 0.47414994), (11, 0.14462505), (13, 0.37388209)]"
1466,1466,11.0,0.9520261287689209,"[(6, 0.039638713), (11, 0.95202607)]"
1467,1467,8.0,0.9820410013198853,"[(8, 0.982041)]"
1468,1468,10.0,0.983618438243866,"[(10, 0.98361844)]"
1469,1469,10.0,0.9922817945480347,"[(10, 0.9922818)]"
1470,1470,6.0,0.8063160181045532,"[(6, 0.806316), (12, 0.1842583)]"
