,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,17.0,0.5197174549102783,"[(2, 0.2028794), (13, 0.26928356), (17, 0.51971745)]"
1,1,32.0,0.5665523409843445,"[(6, 0.13225411), (21, 0.29520917), (32, 0.56655234)]"
2,2,26.0,0.5412061214447021,"[(2, 0.102868214), (15, 0.1597221), (26, 0.5412061), (37, 0.184361)]"
3,3,12.0,0.8520151972770691,"[(12, 0.8520152), (15, 0.13888246)]"
4,4,17.0,0.9937305450439453,"[(17, 0.9937306)]"
5,5,33.0,0.5892462730407715,"[(6, 0.05533711), (18, 0.3478261), (33, 0.5892463)]"
6,6,19.0,0.48496341705322266,"[(18, 0.13987164), (19, 0.48496345), (20, 0.096122675), (21, 0.19412886), (23, 0.064612545), (41, 0.012952977)]"
7,7,40.0,0.825674831867218,"[(40, 0.82567483), (43, 0.15962034)]"
8,8,37.0,0.4283839166164398,"[(22, 0.21987756), (27, 0.28944367), (37, 0.42838392), (40, 0.045091268)]"
9,9,27.0,0.9872990250587463,"[(27, 0.987299)]"
10,10,5.0,0.631801962852478,"[(5, 0.63180196), (27, 0.14556244), (37, 0.20468132)]"
11,11,41.0,0.6768086552619934,"[(12, 0.035329647), (27, 0.25224745), (37, 0.02158953), (41, 0.67680866)]"
12,12,4.0,0.5030652284622192,"[(4, 0.5030652), (13, 0.32428595), (18, 0.15994447)]"
13,13,9.0,0.9837015271186829,"[(9, 0.98370147)]"
14,14,44.0,0.9894838333129883,"[(44, 0.98948383)]"
15,15,21.0,0.9921135902404785,"[(21, 0.99211353)]"
16,16,40.0,0.9880725741386414,"[(40, 0.9880726)]"
17,17,5.0,0.9867841601371765,"[(5, 0.98678416)]"
18,18,4.0,0.7663030624389648,"[(4, 0.76630306), (6, 0.22423391)]"
19,19,44.0,0.9938487410545349,"[(44, 0.9938487)]"
20,20,1.0,0.8237645030021667,"[(1, 0.8237645), (33, 0.16704503)]"
21,21,39.0,0.9847185611724854,"[(39, 0.98471856)]"
22,22,15.0,0.7345082759857178,"[(15, 0.7345083), (24, 0.25621083)]"
23,23,33.0,0.5835366249084473,"[(8, 0.32713804), (31, 0.012182905), (33, 0.5835366), (44, 0.06935101)]"
24,24,10.0,0.9921136498451233,"[(10, 0.99211365)]"
25,25,29.0,0.992299497127533,"[(29, 0.99229956)]"
26,26,33.0,0.5656091570854187,"[(33, 0.56560916), (40, 0.42197698)]"
27,27,10.0,0.5473211407661438,"[(10, 0.54732114), (17, 0.18304838), (23, 0.07794747), (39, 0.16961601), (40, 0.0121871345)]"
28,28,41.0,0.9928092956542969,"[(41, 0.99280924)]"
29,29,43.0,0.6136515140533447,"[(5, 0.03756782), (14, 0.13413887), (16, 0.18368699), (27, 0.024114441), (43, 0.6136515)]"
30,30,10.0,0.994411826133728,"[(10, 0.9944118)]"
31,31,4.0,0.9906861782073975,"[(4, 0.9906862)]"
