Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Photon-Lab/LiDAR-Robo-Car,Photon-Lab/LiDAR-Robo-Car,,9,0.29,0.417197,0.00057,6
deepdrive/deepdrive,deepdrive/deepdrive,,9,0.292191,0.423662,0.012941,6
matsim-eth/av,matsim-eth/av,,9,0.29,0.417197,0.00057,6
sigmaai/self-driving-golf-cart,sigmaai/self-driving-golf-cart,,9,0.29,0.417197,0.00057,6
smoke-trees/gesture-drive,smoke-trees/gesture-drive,,9,0.29,0.417197,0.00057,6
JdeRobot/BehaviorStudio,JdeRobot/BehaviorStudio,,9,0.29,0.417197,0.00057,6
bark-simulator/bark,bark-simulator/bark,,9,0.29,0.417197,0.00057,6
DolphinDSL/dolphin,DolphinDSL/dolphin,,9,0.29,0.417197,0.00057,6
hyrise/Cockpit,hyrise/Cockpit,,9,0.29,0.417197,0.00057,6
continental/ecal,continental/ecal,,9,0.29,0.417197,0.00057,6
IMAGINARY/ethics-vehicles,IMAGINARY/ethics-vehicles,,9,0.29,0.417197,0.00057,6
BeamNG/BeamNGpy,BeamNG/BeamNGpy,,9,0.29,0.417197,0.00057,6
tier4/AutomanTools,tier4/AutomanTools,,9,0.302083,0.432345,0.125401,6
cv-core/MIT-Driverless-CV-TrainingInfra,cv-core/MIT-Driverless-CV-TrainingInfra,,9,0.29,0.417197,0.00057,6
42-AI/42ai_autonomous_cars,42-AI/42ai_autonomous_cars,,10,0.242171,0.356719,0,6
tsinghua-rll/VoxelNet-tensorflow,tsinghua-rll/VoxelNet-tensorflow,,9,0.269767,0.338677,0,8
Roboy/autonomous_driving_v2,Roboy/autonomous_driving_v2,,2,0.8,0.875,0,7
CivicTechVancouver/civic-tech-yvr-16,CivicTechVancouver/civic-tech-yvr-16,,9,0.29,0.417197,0.00057,6
Roboy/autonomous_driving,Roboy/autonomous_driving,,1,1,1,0.000041,7
Robofied/Awesome-Computer-Vision-Guide,Robofied/Awesome-Computer-Vision-Guide,,9,0.29,0.417197,0.00057,6
VapeRC/Robocar,VapeRC/Robocar,,1,1,1,0.000041,7
generalized-intelligence/GAAS,generalized-intelligence/GAAS,,9,0.269142,0.334366,0,6
Roboy/autonomous_driving_src,Roboy/autonomous_driving_src,,2,0.8,0.875,0,7
TUM-AERIUS/Aerius,TUM-AERIUS/Aerius,,1,1,1,0.000041,7
secret-city-wildbots/2021-Skillz-Robot,secret-city-wildbots/2021-Skillz-Robot,,10,0.203866,0.240486,0.081816,8
secret-city-wildbots/AutonomousPathPlanner,secret-city-wildbots/AutonomousPathPlanner,,11,0.169591,0.190459,0,8
