,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
0,0.000579944986384362,0.0005799449281767011,0.0005799475475214422,0.0005799452774226665,0.0005799462669529021,0.0005799449281767011,0.9918807744979858,0.000579945626668632,0.0005799448117613792,0.0005799454520456493,0.0005799453938379884,0.0005799449281767011,0.0005799463833682239,0.0005799452192150056,0.0005799459759145975
1,0.00042748101986944675,0.0004274809907656163,0.00042748101986944675,0.0004274809325579554,0.0004274811071809381,0.9940152764320374,0.000427481543738395,0.00042748101986944675,0.0004274809325579554,0.0004274811071809381,0.00042748107807710767,0.00042748116538859904,0.00042748116538859904,0.00042748107807710767,0.0004274811071809381
2,0.0008661445463076234,0.0008661448955535889,0.0008661448955535889,0.000866144837345928,0.0008661464671604335,0.0008661443134769797,0.7785662412643433,0.000866144837345928,0.0008661446045152843,0.000866146176122129,0.0008661446045152843,0.000866145477630198,0.2101738452911377,0.0008661446045152843,0.0008661453030072153
3,0.0006352134514600039,0.0006352135678753257,0.0006352135678753257,0.0006352132768370211,0.0006352139171212912,0.0006352131604216993,0.0006352136260829866,0.9911069869995117,0.0006352132768370211,0.0006352133932523429,0.0006352133932523429,0.0006352136842906475,0.0006352139753289521,0.0006352136842906475,0.0006352143827825785
4,0.16720284521579742,0.0004277402476873249,0.0004277406260371208,0.00042774001485668123,0.00042774013127200305,0.0004277404223103076,0.00042774048051796854,0.0004277404223103076,0.00042774048051796854,0.00042774053872562945,0.00042774039320647717,0.05190419405698776,0.0004277401021681726,0.7757600545883179,0.0004277401021681726
5,0.0005421849200502038,0.0005421846872195601,0.0005421848618425429,0.0005421843961812556,0.0005421852110885084,0.0005421852110885084,0.9924094080924988,0.0005421857931651175,0.0005421845125965774,0.0005421850946731865,0.0005421849782578647,0.0005421852110885084,0.0005421850946731865,0.0005421853275038302,0.0005421846290118992
6,0.10857876390218735,0.0005654795677401125,0.000565479276701808,0.0005654785200022161,0.0005654793931171298,0.3094120919704437,0.0005654795095324516,0.0005654795677401125,0.0005654785200022161,0.0005654793931171298,0.5752233862876892,0.0005654795677401125,0.0005654787528328598,0.0005654798005707562,0.0005654789856635034
7,0.00102615961804986,0.0010261588031426072,0.00102615961804986,0.0010261592688038945,0.001026160316541791,0.0010261593852192163,0.0010261591523885727,0.00102615961804986,0.9856337904930115,0.00102615961804986,0.0010261592688038945,0.001026158919557929,0.0010261593852192163,0.0010261590359732509,0.0010261597344651818
8,0.0012589110992848873,0.0012589122634381056,0.7576140761375427,0.0012589121470227838,0.0012589136604219675,0.0012589129619300365,0.0012589128455147147,0.0012589136604219675,0.0012589121470227838,0.22602009773254395,0.0012589117977768183,0.0012589122634381056,0.0012589109828695655,0.001258911332115531,0.001258911332115531
9,0.4023994207382202,0.000866790593136102,0.28035834431648254,0.0008667894289828837,0.3068406879901886,0.0008667898364365101,0.0008667901856824756,0.0008667900110594928,0.0008667898364365101,0.0008667900110594928,0.0008667910005897284,0.0008667898364365101,0.0008667904767207801,0.0008667897200211883,0.0008667898364365101
