,0
0,40
1,42
2,22
3,22
4,40
5,3
6,46
7,42
8,19
9,46
10,30
11,31
12,23
13,28
14,45
15,16
16,1
17,17
18,1
19,44
20,34
21,13
22,16
23,16
24,25
25,8
26,13
27,25
28,4
29,14
30,38
31,30
32,7
33,0
34,17
35,1
36,21
37,23
38,42
39,28
40,25
41,1
42,46
43,9
44,19
45,36
46,31
47,2
48,45
49,42
50,0
51,42
52,26
53,12
54,12
55,40
56,37
57,42
58,38
59,30
60,27
61,27
62,14
63,43
64,8
65,2
66,36
67,41
68,16
69,17
70,17
71,14
72,32
73,3
74,3
75,21
76,1
77,19
78,11
79,31
80,25
81,11
82,10
83,36
84,24
85,0
86,45
87,31
88,46
89,40
90,24
91,49
92,32
93,37
94,2
95,49
96,32
97,46
98,12
99,36
100,36
101,11
102,48
103,1
104,42
105,42
106,16
107,43
108,7
109,8
110,12
111,27
112,35
113,24
114,18
115,42
116,34
117,35
118,25
119,2
120,0
121,43
122,17
123,2
124,14
125,1
126,26
127,21
128,17
129,40
130,42
131,16
132,26
133,27
134,42
135,16
136,42
137,42
138,35
139,41
140,30
141,39
142,16
143,45
144,32
145,23
146,49
147,45
148,17
149,6
150,13
151,17
152,6
153,1
154,0
155,10
156,42
157,43
158,48
159,12
160,43
161,1
162,19
163,42
164,24
165,49
166,37
167,0
168,21
169,24
170,14
171,10
172,42
173,48
174,36
175,42
176,42
177,13
178,36
179,18
180,35
181,18
182,2
183,38
184,42
185,1
186,40
187,38
188,15
189,4
190,6
191,3
192,6
193,8
194,31
195,1
196,24
197,48
198,47
199,23
200,11
201,25
202,31
203,31
204,7
205,7
206,46
207,42
208,10
209,27
210,13
211,19
212,7
213,24
214,18
215,42
216,20
217,12
218,48
219,6
220,31
221,44
222,7
223,37
224,39
225,17
226,16
227,11
228,7
229,24
230,0
231,0
232,8
233,47
234,7
235,40
236,44
237,9
238,23
239,19
240,17
241,27
242,35
243,1
244,36
245,6
246,18
247,18
248,12
249,3
250,34
251,42
252,47
253,38
254,43
255,41
256,38
257,37
258,3
259,47
260,35
261,39
262,21
263,10
264,8
265,21
266,26
267,22
268,7
269,43
270,11
271,18
272,44
273,42
274,42
275,42
276,3
277,3
278,41
279,0
280,19
281,41
282,29
283,0
284,19
285,13
286,5
287,38
288,31
289,24
290,8
291,41
292,35
293,17
294,42
295,8
296,12
297,27
298,13
299,42
300,11
301,13
302,41
303,36
304,16
305,33
306,13
307,2
308,30
309,40
310,7
311,45
312,42
313,49
314,29
315,40
316,42
317,43
318,42
319,16
320,36
321,20
322,48
323,32
324,1
325,42
326,10
327,3
328,3
329,4
330,3
331,42
332,29
333,41
334,0
335,26
336,37
337,33
338,41
339,19
340,18
341,37
342,20
343,48
344,38
345,9
346,35
347,42
348,1
349,38
350,20
351,23
352,28
353,37
354,30
355,17
356,12
357,7
358,14
359,27
360,45
361,43
362,19
363,36
364,8
