,0
799,15
800,10
801,17
802,6
803,10
804,25
805,4
806,25
807,25
808,0
809,10
810,24
811,4
812,3
813,15
814,25
815,25
816,8
817,15
818,15
819,20
820,29
821,29
822,7
823,14
824,16
825,8
826,7
827,29
828,20
829,28
830,20
831,20
832,4
833,12
834,15
835,28
836,17
837,10
838,8
839,16
840,2
841,10
842,24
843,6
844,17
845,26
846,3
847,26
848,20
849,0
850,16
851,15
852,29
853,6
854,21
855,15
856,6
857,25
858,24
859,13
860,2
861,4
862,20
863,25
864,20
865,26
866,21
867,13
868,9
869,26
870,22
871,24
872,0
873,15
874,27
875,29
876,22
877,1
878,24
879,25
880,3
881,16
882,28
883,16
884,6
885,5
886,17
887,6
888,25
889,8
890,20
891,13
892,26
893,20
894,9
895,6
896,21
897,24
898,0
899,28
900,13
901,15
902,15
903,18
904,18
905,24
906,2
907,2
908,8
909,0
910,2
911,9
912,28
913,12
914,26
915,25
916,24
917,26
918,21
919,26
920,16
921,21
922,1
923,29
924,17
925,13
926,25
927,16
928,14
929,4
930,6
931,5
932,29
933,24
934,0
935,9
936,20
937,19
938,27
939,27
940,4
941,21
942,22
943,27
944,28
945,25
946,15
947,13
948,4
949,0
950,17
951,25
952,17
953,13
954,13
955,26
956,15
957,20
958,14
959,4
960,14
961,28
962,25
963,28
964,10
965,8
966,16
967,14
968,29
969,16
970,23
971,21
972,25
973,24
974,23
975,2
976,22
977,10
978,8
979,16
980,13
981,28
982,28
983,17
984,14
985,27
986,6
987,27
988,13
989,0
990,13
991,11
992,13
993,24
994,28
995,12
996,19
997,22
998,27
999,24
1000,26
1001,22
1002,10
1003,7
1004,19
1005,10
1006,17
1007,17
1008,17
1009,7
1010,18
1011,15
1012,20
1013,9
1014,19
1015,7
1016,22
1017,29
1018,17
1019,27
1020,0
1021,0
1022,18
1023,29
1024,29
1025,14
1026,21
1027,4
1028,14
1029,13
1030,11
1031,11
1032,29
1033,29
1034,23
1035,4
1036,14
1037,4
1038,20
1039,24
1040,10
1041,18
1042,15
1043,24
1044,10
1045,20
1046,28
1047,4
1048,25
1049,27
1050,26
1051,14
1052,0
1053,4
1054,22
1055,29
1056,25
1057,11
1058,4
1059,7
1060,16
1061,16
1062,26
1063,29
1064,16
1065,11
1066,5
1067,3
1068,6
1069,28
1070,24
1071,7
1072,4
1073,20
1074,4
1075,15
1076,6
1077,24
1078,25
1079,0
1080,12
1081,9
1082,25
1083,4
1084,22
1085,22
1086,14
1087,8
1088,27
1089,0
1090,15
1091,24
1092,18
1093,14
1094,0
1095,15
1096,29
1097,24
1098,11
1099,23
1100,19
1101,29
1102,29
1103,4
1104,7
1105,10
1106,3
1107,29
1108,4
1109,10
1110,7
1111,25
1112,5
1113,17
1114,16
1115,25
1116,28
1117,16
1118,24
1119,13
1120,12
1121,25
1122,15
1123,0
1124,13
1125,23
1126,15
1127,8
1128,8
1129,8
1130,2
1131,14
1132,13
1133,0
1134,18
1135,15
1136,25
1137,8
1138,17
1139,25
1140,5
1141,8
1142,1
1143,20
1144,4
1145,15
1146,12
1147,14
1148,16
1149,28
1150,28
1151,0
1152,11
1153,2
1154,22
1155,4
1156,1
