,0
0,27
1,4
2,38
3,38
4,19
5,23
6,3
7,4
8,17
9,34
10,10
11,26
12,37
13,23
14,0
15,14
16,25
17,39
18,23
19,36
20,16
21,27
22,14
23,14
24,38
25,15
26,20
27,25
28,36
29,12
30,32
31,10
32,9
33,28
34,39
35,23
36,1
37,37
38,4
39,18
40,25
41,23
42,34
43,21
44,17
45,3
46,26
47,6
48,0
49,4
50,28
51,4
52,37
53,33
54,33
55,19
56,27
57,4
58,32
59,10
60,39
61,39
62,12
63,18
64,15
65,6
66,3
67,33
68,14
69,28
70,28
71,12
72,11
73,4
74,4
75,1
76,23
77,34
78,24
79,26
80,25
81,24
82,8
83,3
84,28
85,28
86,0
87,26
88,34
89,19
90,22
91,29
92,11
93,36
94,13
95,29
96,11
97,34
98,33
99,3
100,3
101,24
102,17
103,23
104,4
105,4
106,14
107,18
108,9
109,15
110,33
111,27
112,32
113,35
114,12
115,4
116,16
117,7
118,25
119,13
120,28
121,18
122,39
123,13
124,12
125,23
126,30
127,1
128,28
129,19
130,4
131,14
132,30
133,39
134,4
135,14
136,4
137,22
138,7
139,33
140,10
141,2
142,14
143,0
144,11
145,37
146,29
147,30
148,28
149,31
150,20
151,39
152,31
153,25
154,28
155,8
156,4
157,18
158,17
159,17
160,18
161,23
162,17
163,4
164,35
165,29
166,29
167,4
168,1
169,35
170,12
171,8
172,22
173,17
174,3
175,4
176,4
177,20
178,3
179,12
180,7
181,12
182,13
183,32
184,4
185,25
186,19
187,20
188,38
189,36
190,31
191,23
192,31
193,15
194,26
195,23
196,35
197,33
198,8
199,37
200,24
201,25
202,26
203,26
204,9
205,9
206,34
207,4
208,8
209,39
210,20
211,34
212,9
213,22
214,12
215,4
216,5
217,33
218,33
219,31
220,26
221,7
222,9
223,36
224,2
225,39
226,14
227,24
228,9
229,35
230,28
231,28
232,15
233,8
234,9
235,19
236,25
237,21
238,37
239,6
240,39
241,27
242,7
243,23
244,3
245,31
246,12
247,7
248,6
249,22
250,16
251,4
252,8
253,32
254,18
255,33
256,7
257,36
258,23
259,8
260,7
261,2
262,1
263,8
264,15
265,1
266,22
267,38
268,9
269,18
270,24
271,12
272,7
273,4
274,4
275,4
276,22
277,23
278,0
279,28
280,17
281,0
282,22
283,4
284,34
285,27
286,3
287,32
288,26
289,35
290,15
291,0
292,7
293,1
294,4
295,15
296,33
297,39
298,20
299,4
300,25
301,20
302,33
303,3
304,14
305,23
306,27
307,13
308,10
309,19
310,9
311,0
312,22
313,29
314,22
315,19
316,4
317,18
318,4
319,14
320,3
321,5
322,6
323,11
324,38
325,4
326,8
327,23
328,22
329,31
330,22
331,4
332,22
333,0
334,28
335,30
336,36
337,35
338,11
339,17
340,36
341,36
342,5
343,17
344,36
345,21
346,7
347,4
348,23
349,32
350,5
351,37
352,18
353,36
354,10
355,28
356,33
357,9
358,12
359,27
360,0
361,18
362,17
363,3
364,15
365,4
366,4
367,11
368,13
369,15
370,28
371,4
372,37
373,35
374,10
375,31
376,26
377,30
378,36
379,21
380,0
381,15
382,15
383,29
384,38
385,33
386,14
387,17
388,18
389,24
390,37
391,30
392,6
393,4
394,36
395,36
396,12
397,17
398,31
399,31
400,26
401,31
402,23
403,20
404,36
405,33
406,35
407,33
408,4
409,0
410,36
411,21
412,26
413,33
414,28
415,2
416,33
417,3
418,2
419,9
420,37
421,37
422,37
423,13
424,4
425,4
426,4
427,8
428,18
429,37
430,27
431,20
432,36
433,36
434,8
435,36
436,36
437,32
438,14
439,23
440,11
441,5
442,14
443,25
444,7
445,37
446,21
447,31
448,6
449,5
450,2
451,26
452,1
453,5
454,4
455,28
456,5
457,23
458,30
459,38
460,32
461,32
462,17
463,37
464,27
465,39
466,0
467,25
468,30
469,25
470,36
471,23
472,15
473,39
474,28
475,9
476,38
477,33
478,3
479,28
480,33
481,33
482,34
483,2
484,34
485,24
486,15
487,4
488,15
489,33
490,2
491,17
492,26
493,35
494,32
495,32
496,23
497,0
498,17
499,15
500,4
501,15
502,32
503,27
504,19
505,13
506,24
507,35
508,15
509,10
510,2
511,34
512,3
513,3
514,15
515,7
516,13
517,30
518,3
519,35
520,6
521,37
522,28
523,30
524,12
525,19
526,33
527,9
528,32
529,11
530,33
531,18
532,22
533,15
534,4
535,19
536,15
537,25
538,4
539,32
540,20
541,18
542,34
543,3
544,15
545,3
546,14
547,3
548,38
549,28
550,6
551,33
552,24
553,35
554,0
555,27
556,15
557,5
558,6
559,15
560,14
561,18
562,33
563,38
564,15
565,36
566,31
567,7
568,13
569,27
570,39
571,28
572,22
573,34
574,34
575,6
576,12
577,33
578,24
579,4
580,17
581,23
582,23
583,9
584,3
585,31
586,34
587,32
588,8
589,26
590,17
591,12
592,15
593,9
594,9
595,33
596,15
597,33
598,0
599,11
600,37
601,18
602,10
603,10
604,7
605,18
606,10
607,26
608,25
609,19
610,7
611,35
612,5
613,24
614,9
615,30
616,32
617,12
618,13
619,16
620,3
621,33
622,31
623,24
624,17
625,20
626,30
627,35
628,13
629,15
630,3
631,38
632,39
633,8
634,11
635,19
636,24
637,31
638,39
639,39
640,28
641,4
642,26
643,9
644,22
645,4
646,4
647,12
648,9
649,9
650,10
651,29
652,18
653,12
654,12
655,18
656,8
657,38
658,22
659,4
660,7
661,21
662,10
663,11
664,33
665,33
666,23
667,11
668,14
669,23
670,4
671,7
672,19
673,32
674,37
675,4
676,25
677,23
678,29
679,15
680,15
681,23
682,2
683,39
684,18
685,14
686,34
687,26
688,17
689,14
690,33
691,22
692,37
693,32
694,3
695,25
696,6
697,22
698,36
699,37
700,23
701,34
702,24
703,12
704,9
705,9
706,21
707,30
708,4
709,4
710,17
711,8
712,34
713,16
714,31
715,8
716,12
717,33
718,3
719,6
720,1
721,22
722,10
723,2
724,35
725,37
726,35
727,11
728,35
729,4
730,32
731,5
732,39
733,13
734,8
735,9
736,23
737,11
738,30
739,31
740,26
741,10
742,12
743,17
744,24
745,13
746,23
747,8
748,4
749,4
750,8
751,14
752,15
753,2
754,13
755,8
756,17
757,9
758,22
759,32
760,3
761,3
762,4
763,4
764,3
765,15
766,19
767,24
768,18
769,37
770,22
771,12
772,28
773,23
774,7
775,2
776,31
777,16
778,6
779,33
780,7
781,26
782,11
783,35
784,26
785,31
786,25
787,13
788,31
789,19
790,21
791,8
792,8
793,37
794,25
795,31
796,10
797,22
798,16
799,4
800,13
801,30
802,39
803,13
804,8
805,32
806,8
807,8
808,3
809,13
810,34
811,36
812,25
813,4
814,8
815,31
816,15
817,4
818,4
819,21
820,33
821,33
822,10
823,11
824,11
825,15
826,10
827,33
828,35
829,38
830,35
831,35
832,7
833,29
834,4
835,38
836,0
837,13
838,15
839,11
840,14
841,13
842,34
843,27
844,30
845,37
846,26
847,21
848,35
849,3
850,0
851,4
852,17
853,39
854,36
855,4
856,27
857,8
858,34
859,12
860,14
861,36
862,7
863,8
864,35
865,37
866,36
867,12
868,28
869,37
870,30
871,34
872,3
873,4
874,26
875,33
876,21
877,2
878,34
879,8
880,25
881,0
882,38
883,31
884,39
885,16
886,30
887,27
888,8
889,15
890,35
891,12
892,37
893,35
894,28
895,1
896,36
897,17
898,3
899,20
900,12
901,4
902,4
903,24
904,24
905,17
906,14
907,23
908,15
909,3
910,14
911,28
912,19
913,29
914,26
915,8
916,17
917,26
918,21
919,37
920,31
921,19
922,2
923,33
924,30
925,12
926,36
927,0
928,21
929,32
930,39
931,16
932,17
933,17
934,34
935,28
936,1
937,5
938,9
939,26
940,32
941,11
942,5
943,9
944,38
945,8
946,23
947,12
948,7
949,3
950,0
951,8
952,31
953,12
954,12
955,37
956,4
957,35
958,36
959,32
960,18
961,38
962,8
963,19
964,13
965,15
966,33
967,18
968,33
969,31
970,35
971,36
972,31
973,34
974,36
975,14
976,23
977,6
978,15
979,11
980,12
981,38
982,38
983,31
984,18
985,9
986,39
987,9
988,12
989,3
990,12
991,23
992,12
993,17
994,38
995,29
996,26
997,23
998,9
999,34
1000,26
1001,25
1002,13
1003,10
1004,5
1005,6
1006,0
1007,25
1008,34
1009,10
1010,24
1011,4
1012,35
1013,28
1014,5
1015,10
1016,38
1017,33
1018,30
1019,9
1020,3
1021,3
1022,24
1023,33
1024,33
1025,18
1026,36
1027,32
1028,18
1029,12
1030,22
1031,23
1032,17
1033,33
1034,35
1035,32
1036,11
1037,32
1038,7
1039,34
1040,13
1041,24
1042,4
1043,34
1044,13
1045,35
1046,38
1047,7
1048,8
1049,9
1050,26
1051,18
1052,3
1053,32
1054,23
1055,33
1056,8
1057,23
1058,32
1059,10
1060,33
1061,31
1062,37
1063,33
1064,0
1065,21
1066,16
1067,25
1068,27
1069,19
1070,34
1071,10
1072,32
1073,35
1074,32
1075,4
1076,39
1077,17
1078,8
1079,3
1080,29
1081,28
1082,8
1083,32
1084,23
1085,23
1086,18
1087,15
1088,26
1089,3
1090,4
1091,34
1092,24
1093,18
1094,3
1095,4
1096,33
1097,17
1098,22
1099,36
1100,5
1101,17
1102,33
1103,32
1104,10
1105,6
1106,26
1107,6
1108,32
1109,13
1110,10
1111,8
1112,16
1113,30
1114,11
1115,8
1116,31
1117,31
1118,34
1119,12
1120,29
1121,8
1122,4
1123,3
1124,12
1125,12
1126,4
1127,15
1128,15
1129,15
1130,14
1131,18
1132,12
1133,3
